candidate,pair,timestamp,log_return_pct,vol_regime,vol20_pct,entry_open_1,exit_close_6,next_open_long_return_6_pct,next_open_long_mae_6_pct,next_open_long_mfe_6_pct,horizon_bars,horizon_hours,threshold_pct
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-10 08:00:00,-0.4968520931,Q3_mid,0.2628642984,82.9170000000,82.8390000000,-0.0941142472,-0.7104546153,0.1337792842,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-10 12:00:00,-0.5866396421,Q4_higher,0.2871952136,82.4320000000,82.8970000000,0.5625162266,-0.1238149731,0.7204189263,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-14 12:00:00,-0.4872914112,Q2_lower,0.2208173460,82.2960000000,82.6550000000,0.4352814676,-0.2518479294,0.5646515021,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-20 20:00:00,-0.5165463584,Q2_lower,0.2193949489,82.2610000000,81.5310000000,-0.8913803282,-0.9379992318,0.0133711778,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-21 00:00:00,-0.5583405745,Q3_mid,0.2499016239,81.8000000000,81.7800000000,-0.0244528672,-0.3760116621,0.3344035727,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-27 00:00:00,-0.6311570843,Q4_higher,0.3071006398,81.1810000000,81.1940000000,0.0160123172,-0.3306726272,0.7082434677,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-01-28 08:00:00,-0.5522725726,Q4_higher,0.3020939126,80.7150000000,81.3050000000,0.7283083668,-0.4345673588,0.7393771841,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-01 00:00:00,-0.5471700139,Q4_higher,0.3214692439,80.9220000000,81.8320000000,1.1182637392,-0.0037073424,1.3087167329,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-04 08:00:00,-0.5632644963,Q4_higher,0.2905653541,81.4430000000,81.8770000000,0.5314732079,-0.1818875011,0.5510128062,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-10 16:00:00,-0.9699861699,Q4_higher,0.3252061531,83.1010000000,82.1140000000,-1.1948209811,-1.3630213986,0.2211725446,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-11 16:00:00,-1.2645912233,Q5_high,0.4511885048,82.1120000000,82.2830000000,0.2080355992,-0.6904627850,0.6458057357,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-14 08:00:00,-0.5599795034,Q5_high,0.4786414872,81.7390000000,82.5480000000,0.9848698183,-0.0942466762,1.2014785855,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-17 00:00:00,-0.6830999281,Q5_high,0.3529564577,82.4310000000,82.9350000000,0.6095588701,-0.1153143658,0.9381917294,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-24 00:00:00,-0.7651757157,Q4_higher,0.3172506116,82.4110000000,82.8010000000,0.4721215462,-0.4853345131,0.7218065543,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-02-27 20:00:00,-0.5235865550,Q5_high,0.3634499392,83.0520000000,83.5350000000,0.5798788062,-0.3570398466,0.7819848431,6,24,-0.4801615003
