pair,current_direction,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,continuation_rate_pct
USDJPY,up_bar,1,4,3592,0.1653854504,0.0026824598,0.0056818111,0.2689305383,0.5978073799,51.5590200445
USDJPY,up_bar,3,12,3590,0.1654189208,0.0223590420,0.0345337286,0.4437667918,3.0188783679,54.8189415042
USDJPY,up_bar,6,24,3588,0.1653499975,0.0331397128,0.0677526657,0.6320467253,3.1406950649,56.1036789298
USDJPY,up_bar,12,48,3586,0.1653441070,0.0536687328,0.1106984204,0.8890384732,3.6149802466,56.0513106525
USDJPY,down_bar,1,4,3249,-0.1727761061,0.0068071434,0.0126082206,0.2582763535,1.5022946013,46.4758387196
USDJPY,down_bar,3,12,3249,-0.1727761061,0.0052754611,0.0247092702,0.4645843456,0.6472479861,46.7836257310
USDJPY,down_bar,6,24,3248,-0.1727940152,0.0232677273,0.0723640610,0.6611318007,2.0057367298,44.5504926108
USDJPY,down_bar,12,48,3244,-0.1728120762,0.0587346404,0.1226978584,0.9286680495,3.6022531729,43.4340320592
EURUSD,up_bar,1,4,3420,0.1318689101,-0.0040057549,-0.0028109694,0.2002744415,-1.1696930012,49.0058479532
EURUSD,up_bar,3,12,3420,0.1318689101,-0.0062094660,-0.0065097558,0.3499446845,-1.0376906621,48.7719298246
EURUSD,up_bar,6,24,3419,0.1318923336,-0.0036300497,-0.0093584764,0.4897091419,-0.4334349375,48.6692015209
EURUSD,up_bar,12,48,3414,0.1318086841,0.0044718269,-0.0114921812,0.6966839167,0.3750429062,49.2091388401
EURUSD,down_bar,1,4,3404,-0.1321168088,0.0046204526,0.0037215216,0.1998737581,1.3487253264,48.5605170388
EURUSD,down_bar,3,12,3402,-0.1321381308,0.0070666733,0.0040638960,0.3426609064,1.2028670036,49.0299823633
EURUSD,down_bar,6,24,3400,-0.1320126235,0.0066974397,-0.0057469047,0.4809172459,0.8120409301,50.5588235294
EURUSD,down_bar,12,48,3399,-0.1320186517,0.0030109011,-0.0232803938,0.6798054602,0.2582185440,51.4857310974
AUDJPY,up_bar,1,4,3541,0.1998661027,0.0002109431,0.0000000000,0.2922355294,0.0429531849,49.9858796950
AUDJPY,up_bar,3,12,3540,0.1998795811,0.0095781462,0.0298203735,0.4896097070,1.1639466502,53.0790960452
AUDJPY,up_bar,6,24,3540,0.1998795811,0.0106773491,0.0447801233,0.6933192539,0.9162876089,53.1073446328
AUDJPY,up_bar,12,48,3535,0.1998666940,0.0400381956,0.1060425041,0.9673825440,2.4607696387,54.5968882603
AUDJPY,down_bar,1,4,3291,-0.2068418488,0.0079483998,0.0188851469,0.3110896091,1.4657440412,46.2169553327
AUDJPY,down_bar,3,12,3290,-0.2068465525,0.0140251721,0.0444920943,0.5327623841,1.5099848706,45.9878419453
AUDJPY,down_bar,6,24,3287,-0.2069151883,0.0383444862,0.0677722468,0.7452459693,2.9498717797,45.5430483724
AUDJPY,down_bar,12,48,3286,-0.2069601212,0.0555692605,0.1150795982,1.0046686798,3.1706297748,44.8265368229
