pair,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
USDJPY,Q1_low,upper,5pct,0.0500000000,0.3730714687,1,4,10,0.1357148802,0.4133267196,0.1551531458,-0.1551531458,-0.1565710325,0.4101283812,-1.1963018151,20.0000000000
USDJPY,Q1_low,upper,5pct,0.0500000000,0.3730714687,3,12,10,0.1357148802,0.4133267196,0.2411361396,-0.2411361396,-0.2435768852,0.4659909343,-1.6363825370,20.0000000000
USDJPY,Q1_low,upper,5pct,0.0500000000,0.3730714687,6,24,10,0.1357148802,0.4133267196,0.4365965937,-0.4365965937,-0.4157172698,0.6484337639,-2.1291914944,20.0000000000
USDJPY,Q1_low,upper,5pct,0.0500000000,0.3730714687,12,48,10,0.1357148802,0.4133267196,0.2184480012,-0.2184480012,-0.4009003049,0.6050797922,-1.1416564279,20.0000000000
USDJPY,Q2_lower,upper,5pct,0.0500000000,0.3730714687,1,4,39,0.1745443459,0.4727420707,-0.0102013789,0.0102013789,-0.0598112268,0.6107758827,0.1043060028,38.4615384615
USDJPY,Q2_lower,upper,5pct,0.0500000000,0.3730714687,3,12,39,0.1745443459,0.4727420707,-0.0079213061,0.0079213061,-0.0313878438,0.6857661581,0.0721361651,46.1538461538
USDJPY,Q2_lower,upper,5pct,0.0500000000,0.3730714687,6,24,38,0.1744634954,0.4743445475,-0.0543422629,0.0543422629,0.0202582550,0.6760880279,0.4954801635,55.2631578947
USDJPY,Q2_lower,upper,5pct,0.0500000000,0.3730714687,12,48,38,0.1744634954,0.4743445475,0.0279217984,-0.0279217984,0.0932437829,0.8091597399,-0.2127163727,55.2631578947
USDJPY,Q3_mid,upper,5pct,0.0500000000,0.3730714687,1,4,61,0.2110312668,0.4884118022,-0.0908930301,0.0908930301,0.0029765005,0.5604463697,1.2666640326,50.8196721311
USDJPY,Q3_mid,upper,5pct,0.0500000000,0.3730714687,3,12,61,0.2110312668,0.4884118022,0.0149085038,-0.0149085038,-0.0509543024,0.5725262232,-0.2033778228,45.9016393443
USDJPY,Q3_mid,upper,5pct,0.0500000000,0.3730714687,6,24,61,0.2110312668,0.4884118022,0.0897526616,-0.0897526616,-0.1221835061,0.6874937221,-1.0196321415,37.7049180328
USDJPY,Q3_mid,upper,5pct,0.0500000000,0.3730714687,12,48,61,0.2110312668,0.4884118022,0.2341309020,-0.2341309020,-0.2774901749,0.8635528659,-2.1175551306,32.7868852459
USDJPY,Q4_higher,upper,5pct,0.0500000000,0.3730714687,1,4,103,0.2627453440,0.5324401202,0.0113809288,-0.0113809288,-0.0019213096,0.3048424225,-0.3788967808,49.5145631068
USDJPY,Q4_higher,upper,5pct,0.0500000000,0.3730714687,3,12,103,0.2627453440,0.5324401202,-0.0384491055,0.0384491055,0.0678383463,0.5573866435,0.7000810069,54.3689320388
USDJPY,Q4_higher,upper,5pct,0.0500000000,0.3730714687,6,24,103,0.2627453440,0.5324401202,-0.1441893107,0.1441893107,0.0486544027,0.7644892303,1.9141691226,53.3980582524
USDJPY,Q4_higher,upper,5pct,0.0500000000,0.3730714687,12,48,103,0.2627453440,0.5324401202,-0.2397990435,0.2397990435,0.1547326082,0.9959922179,2.4434874556,62.1359223301
USDJPY,Q5_high,upper,5pct,0.0500000000,0.3730714687,1,4,130,0.4326692980,0.7025285193,-0.0246180456,0.0246180456,0.0028630894,0.3316197909,0.8464178360,50.0000000000
USDJPY,Q5_high,upper,5pct,0.0500000000,0.3730714687,3,12,130,0.4326692980,0.7025285193,-0.0475396909,0.0475396909,-0.0143724748,0.5851506716,0.9263184656,49.2307692308
USDJPY,Q5_high,upper,5pct,0.0500000000,0.3730714687,6,24,130,0.4326692980,0.7025285193,-0.0800451499,0.0800451499,0.0217436958,0.8440756776,1.0812479875,51.5384615385
USDJPY,Q5_high,upper,5pct,0.0500000000,0.3730714687,12,48,130,0.4326692980,0.7025285193,-0.0584572401,0.0584572401,-0.1239113816,1.1710509021,0.5691597902,44.6153846154
USDJPY,Q1_low,lower,5pct,0.0500000000,-0.3861623093,1,4,6,0.1395700239,-0.4345345084,-0.0831475133,-0.0831475133,0.0149279139,0.3224352533,-0.6316585387,50.0000000000
USDJPY,Q1_low,lower,5pct,0.0500000000,-0.3861623093,3,12,6,0.1395700239,-0.4345345084,-0.0608740156,-0.0608740156,-0.0840397225,0.4446594565,-0.3353358948,50.0000000000
USDJPY,Q1_low,lower,5pct,0.0500000000,-0.3861623093,6,24,6,0.1395700239,-0.4345345084,0.0581904727,0.0581904727,0.0819199092,0.4572205702,0.3117466172,66.6666666667
USDJPY,Q1_low,lower,5pct,0.0500000000,-0.3861623093,12,48,6,0.1395700239,-0.4345345084,0.0876132396,0.0876132396,0.2539324308,0.7111422451,0.3017789101,83.3333333333
