pair,vol_regime,horizon_bars,horizon_hours,count,vol20_mean_pct,current_abs_return_mean_pct,future_return_mean_pct,future_abs_return_mean_pct,future_return_up_rate_pct
USDJPY,Q1_low,1,4,1366,0.1140278011,0.0883003113,0.0098579687,0.1133574714,53.7335285505
USDJPY,Q1_low,3,12,1366,0.1140278011,0.0883003113,0.0312441014,0.2282515371,58.2723279649
USDJPY,Q1_low,6,24,1364,0.1139812501,0.0882238498,0.0698985345,0.3522798745,60.9237536657
USDJPY,Q1_low,12,48,1359,0.1138975405,0.0879563993,0.1024244170,0.4947581998,59.5290654893
USDJPY,Q2_lower,1,4,1365,0.1698131324,0.1290987968,0.0128887443,0.1452890503,53.9194139194
USDJPY,Q2_lower,3,12,1363,0.1698036764,0.1291337091,0.0366882200,0.2742628486,56.2729273661
USDJPY,Q2_lower,6,24,1362,0.1697979400,0.1289261362,0.0642760672,0.4134903694,58.9574155653
USDJPY,Q2_lower,12,48,1361,0.1698142505,0.1288887381,0.1734476707,0.6264637181,60.1763409258
USDJPY,Q3_mid,1,4,1365,0.2108705639,0.1576341582,0.0102742285,0.1691862414,53.6263736264
USDJPY,Q3_mid,3,12,1365,0.2108705639,0.1576341582,0.0399458685,0.3050541654,54.3589743590
USDJPY,Q3_mid,6,24,1365,0.2108705639,0.1576341582,0.0664911897,0.4626413217,56.7765567766
USDJPY,Q3_mid,12,48,1365,0.2108705639,0.1576341582,0.1082189965,0.7124772803,57.9487179487
USDJPY,Q4_higher,1,4,1366,0.2588368956,0.1987638344,-0.0154000142,0.1951243364,50.3660322108
USDJPY,Q4_higher,3,12,1366,0.2588368956,0.1987638344,-0.0468425008,0.3624413129,48.3162518302
USDJPY,Q4_higher,6,24,1366,0.2588368956,0.1987638344,-0.0785287571,0.5204521539,46.5592972182
USDJPY,Q4_higher,12,48,1366,0.2588368956,0.1987638344,-0.0995594391,0.7417130029,49.7803806735
USDJPY,Q5_high,1,4,1366,0.4230404787,0.2704234129,0.0058507974,0.2213107020,50.5124450952
USDJPY,Q5_high,3,12,1366,0.4230404787,0.2704234129,0.0095708493,0.4101845097,53.0746705710
USDJPY,Q5_high,6,24,1366,0.4230404787,0.2704234129,0.0181378934,0.5934410742,55.5636896047
USDJPY,Q5_high,12,48,1366,0.4230404787,0.2704234129,-0.0045676292,0.8243096527,54.0263543192
EURUSD,Q1_low,1,4,1366,0.0976675713,0.0726598081,0.0002464480,0.0944898563,51.2445095168
EURUSD,Q1_low,3,12,1366,0.0976675713,0.0726598081,-0.0048140602,0.1821336093,49.6339677892
EURUSD,Q1_low,6,24,1366,0.0976675713,0.0726598081,-0.0056401412,0.2656469623,48.8286969253
EURUSD,Q1_low,12,48,1366,0.0976675713,0.0726598081,0.0169059160,0.3851310570,50.2196193265
EURUSD,Q2_lower,1,4,1366,0.1344176572,0.0960158690,0.0026973851,0.1065873804,50.2196193265
