entry_case,entry_lag_bars,adverse_entry_bps,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
next_open,1,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
next_open,1,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,True,True,False,False,False,fragile
next_open,1,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-5.719486039690906,-6.927515444291327,-7.220426371961031,-7.513337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139,True,False,True,True,False,broken
delay_4h,2,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.7356199591736879,0.7352535246167597,60.19900497512438,1.7437237041855873,2.946645179066796,-5.048939620949441,-7.210802397729717,-8.4129530614741,-8.758605719080752,-3.3225487857521085,-37.228501213934294,3.143544308240661,17.727510948001584,-21.776316221991166,False,False,False,False,True,watch
delay_4h,2,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,0.7698427870521113,0.114296066920696,53.333333333333336,1.7711011167996058,0.787284821229763,-3.6873134305354487,-4.018225850981007,-3.952043366891895,-4.018225850981007,-2.533803368277779,-7.307402711795269,3.231816262292024,10.221275420791876,-11.081550968636344,True,True,False,False,False,fragile
delay_4h,2,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.29880007503153144,0.3032273141708474,53.84615384615385,1.261083150020849,0.4636615405138823,-4.099260249665281,-6.114301689280307,-7.105367944371925,-8.096434199463545,-3.6020762508574133,-11.984038114663802,3.015322640400405,6.849249950126354,-10.75183981235882,True,False,False,False,False,watch
delay_8h,3,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.7503421875475992,0.6951247872994022,62.189054726368155,1.6894731919062569,2.663232436957835,-5.234148436043175,-9.000061447841317,-11.25119195362098,-12.779720116059764,-3.3596993836631763,-36.25805278823043,3.2720987056068123,15.981913920147845,-24.824918612525227,False,False,False,False,True,watch
delay_8h,3,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,0.6928318395947393,-0.27487012634663055,46.666666666666664,1.8858701748833717,0.7436863103966711,-3.4896904591093265,-3.5991375963822745,-3.5772481689276847,-3.5991375963822745,-2.156462294924465,-6.390269337184491,3.406779983791282,14.064061214130213,-8.397867111437174,True,True,False,False,False,fragile
delay_8h,3,0.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.4284370199584388,0.626977139465987,65.38461538461539,1.315340874104854,0.5619731668928385,-5.440556769484155,-6.823756553860153,-7.345503072181558,-7.867249590502963,-3.4019221383934637,-11.826141778768319,3.2757388825287106,9.799927382689729,-11.165266900771975,True,False,False,False,False,watch
adverse_10bps,1,10.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.2409195751412371,0.1898699102002459,53.233830845771145,1.1774123671735264,0.8410952637166323,-6.441643622260249,-9.818498950568323,-11.669158102359816,-13.372087416323433,-3.826527529603216,-36.71726957765297,2.9510685332827866,16.056952512429422,-33.73351648625611,False,False,False,False,True,watch
adverse_10bps,1,10.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.1973654077638267,0.626055051296213,66.66666666666666,2.8573803745639244,1.3324101770840966,-3.280883115093473,-3.6320923186016283,-3.561850477899997,-3.6320923186016283,-2.7507418870609155,-9.525600262837969,3.7431961359873913,14.486294119597531,-3.566923228356711,True,True,False,False,False,fragile
adverse_10bps,1,10.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.3423836876132971,-0.8792981634564845,42.30769230769231,0.778640524344672,-0.5157113717336789,-5.819436072999243,-7.027465477599659,-7.320376405269363,-7.613287332939069,-4.430136383993366,-12.357527825428285,2.5050346622899893,6.798858517105458,-19.892857248899144,True,False,True,True,False,broken
adverse_25bps,1,25.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.09118158859086507,0.040131923649876985,51.243781094527364,1.0638279019808443,0.3183319672424911,-6.591381608810619,-9.968236937118693,-11.818896088910202,-13.52182540287381,-3.9762655161535867,-36.867007564203334,2.801330546732414,15.907214525879054,-38.01463118141205,False,False,False,False,True,watch
adverse_25bps,1,25.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.0476274212134555,0.47631706474581986,60.0,2.4941356418593097,1.1657840027498962,-3.430621101643839,-3.78183030515198,-3.7115884644503514,-3.78183030515198,-2.9004798736112867,-9.675338249388325,3.5934581494370184,14.336556133047154,-3.7112121212818483,True,True,False,False,False,fragile
adverse_25bps,1,25.0,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.4921216741636701,-1.0290361500068517,38.46153846153847,0.6986654875152889,-0.741252439366987,-5.969174059549611,-7.1772034641500335,-7.470114391819741,-7.763025319489447,-4.579874370543738,-12.507265811978666,2.3552966757396163,6.649120530555075,-20.847189741551908,True,False,True,True,True,broken
next_open,1,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
next_open,1,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
next_open,1,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.10019422569395425,0.2541551473493718,53.84615384615385,0.9351024308803354,-0.1377282019547979,-5.123665361089099,-7.186544190965788,-8.17432484072809,-9.162105490490392,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-18.776553699945588,True,False,True,True,False,broken
delay_4h,2,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6151041705600797,0.9555308742374644,58.70646766169154,1.3651156252484467,1.5820373586297458,-9.265886444644176,-14.11031507194354,-17.01049865578875,-17.886758248207357,-4.486671655640462,-37.228501213934294,4.208802032349319,18.88920206413298,-42.475459671006824,False,False,False,False,True,watch
delay_4h,2,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,0.47544817546235796,2.0203150721917753,66.66666666666666,1.3240387713860937,0.45098608961576264,-6.467410302921799,-8.388963243245557,-8.004652655180806,-8.388963243245557,-3.8303226079029598,-13.517247965913395,4.273802488806971,10.221275420791876,-10.108742540754568,True,True,False,False,False,fragile
delay_4h,2,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.3839388274594043,0.4135486695961939,53.84615384615385,1.233102129640818,0.39358586062110684,-8.27106376452691,-10.67899619607388,-11.385551071788733,-12.092105947503585,-4.735954837309516,-19.556953489477387,4.004814689822052,11.572405340621346,-16.190202155793298,True,False,False,False,False,watch
delay_8h,3,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6693528504876766,0.9440633230118194,59.20398009950249,1.3998477750147036,1.7121104956341546,-8.580670889773806,-13.729204689151578,-18.73519561483554,-19.080568857931766,-4.450959813398674,-42.83951141835624,4.351835134227526,21.671281568029617,-40.48184690312186,False,False,False,False,True,watch
delay_8h,3,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.056989599800117,2.5050451556144777,66.66666666666666,1.6838250178419336,0.8291213887127978,-7.528068413761972,-8.580670889773806,-8.37015039457144,-8.580670889773806,-3.5712138716607957,-17.6378432165213,4.514083005592333,14.064061214130213,-12.866326986689714,True,True,False,False,False,fragile
delay_8h,3,0.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.5386533328198528,0.47552630364692955,57.692307692307686,1.320772673318721,0.5403865334185038,-8.290086484860907,-9.137748444052086,-9.246795076622199,-9.355841709192312,-4.341867904234002,-18.307128729262494,4.279071843232236,11.729481774815003,-16.022370849285593,True,False,False,False,False,watch
adverse_10bps,1,10.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.5033207234234266,0.751344643552296,59.70149253731343,1.2994565304756887,1.374427081563449,-7.395796587739753,-11.960240388490597,-14.670850394947465,-17.727981361660618,-4.815595165434443,-36.71726957765297,4.0549803082314675,16.44074376211357,-43.74937463928155,False,False,False,False,True,watch
adverse_10bps,1,10.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.0150837850562169,2.3164326518741056,73.33333333333333,1.951977778212231,1.1296849738434018,-5.614336113749657,-5.878074376593446,-5.825326724024689,-5.878074376593446,-3.3492016907223956,-9.525600262837969,4.828297808626825,14.486294119597531,-6.36793578201239,True,True,False,False,False,fragile
adverse_10bps,1,10.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.20014425900229646,0.1542051140410374,53.84615384615385,0.8741241646638014,-0.2751207340846287,-5.223615394397439,-7.286494224274128,-8.274274874036433,-9.262055523798738,-5.446829006392714,-13.721674586652325,3.102824058498496,6.897399747530233,-20.30447416060572,True,False,True,True,True,broken
adverse_25bps,1,25.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3535827368730554,0.6016066570019284,57.711442786069654,1.2028847863137275,0.9655348300109974,-7.545534574290108,-12.109978375040962,-14.820588381497826,-17.877719348210977,-4.965333151984816,-36.867007564203334,3.9052423216810945,16.29100577556322,-45.653651758557025,False,False,False,False,True,watch
adverse_25bps,1,25.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,0.8653457985058457,2.1666946653237265,73.33333333333333,1.7822550578553502,0.9630418297898764,-5.764074100300038,-6.027812363143829,-5.9750647105750705,-6.027812363143829,-3.4989396772727686,-9.675338249388325,4.678559822076451,14.336556133047154,-6.647921862687145,True,True,False,False,False,fragile
adverse_25bps,1,25.0,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.34988224555266706,0.004467127490658831,50.0,0.7893589151574831,-0.48095239263657114,-5.373353380947813,-7.436232210824503,-8.424012860586807,-9.41179351034911,-5.596566992943084,-13.871412573202704,2.9530860719481224,6.747661760979843,-22.539879536752682,True,False,True,True,True,broken
next_open,1,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
next_open,1,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-6.060482604268151,-13.002371938146872,-11.613994071371128,-13.002371938146872,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035,True,True,False,False,False,fragile
next_open,1,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-8.807462964683488,-16.08338208779235,-19.629344879736436,-23.17530767168052,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911,True,False,False,False,True,watch
delay_4h,2,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.7608974050718854,1.0730225807606213,56.71641791044776,1.2814129772970777,1.295399523523638,-13.96162710020187,-20.760086145301944,-25.26091109282167,-26.133333334259735,-6.881080991107419,-52.55883245772017,6.6567641595510985,31.079437803917088,-71.24567070192327,False,False,False,False,True,watch
delay_4h,2,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.2584009179089766,0.13451998163336215,53.333333333333336,1.7457028314841332,0.8241610949073314,-7.821017245985781,-12.460129491703505,-11.53230704255996,-12.460129491703505,-4.95466069722427,-14.767393965496112,6.541685017400445,12.471536115191467,-17.910374826024444,True,True,False,False,False,fragile
delay_4h,2,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.9868977469227932,1.0069710285081774,61.53846153846154,1.4010405865508495,0.6214721103077837,-7.500850107038668,-16.421101170137902,-20.65867465109991,-24.89624813206192,-6.762703402608803,-28.25864562961315,6.500811848412952,17.40382368942126,-26.367184676764623,True,False,False,False,True,watch
delay_8h,3,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.9278402751296809,0.6544450835457019,57.2139303482587,1.3554914551236554,1.5565015196624574,-12.428635258923267,-19.825138716779545,-24.145584733135465,-27.767013029330684,-6.831971330782613,-53.44643210817932,6.732073098532931,31.132849523917155,-67.74586104121754,False,False,False,False,True,watch
delay_8h,3,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.5104243505712736,2.764182432340185,60.0,1.9138813988361227,0.995856183048098,-7.145370509500845,-12.428635258923267,-11.371982309038781,-12.428635258923267,-4.594524745428578,-17.6378432165213,6.665478854663312,16.40478393647245,-17.71053434000873,True,True,False,False,False,fragile
delay_8h,3,0.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,1.1966130090820137,0.790983096741855,61.53846153846154,1.4675884024369326,0.7405942633421724,-9.948842663842735,-15.609499295495114,-18.21687740925342,-20.824255523011725,-6.382175659639866,-27.00882086939827,6.701897154626354,19.993266450366683,-23.01298045308996,True,False,False,False,True,watch
adverse_10bps,1,10.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.5471804011328368,1.1412057636192003,55.223880597014926,1.1922878657237148,0.9167285832290019,-12.911101374382076,-21.11417868307806,-24.68732742780408,-27.93019570244321,-7.177700344264316,-50.736156482651666,6.574804885895786,31.34425579568485,-71.01591963872225,False,False,False,False,True,watch
adverse_10bps,1,10.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,2.0941221672477472,3.48686209536666,66.66666666666666,2.7690925012549887,1.4598285058306166,-6.160432637576499,-13.102321971455213,-11.71394410467947,-13.102321971455213,-4.554163179588274,-14.741542099350546,7.132194108321226,14.486294119597531,-12.280259411880145,True,True,False,False,False,fragile
adverse_10bps,1,10.0,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.011423959317893364,1.214934294057589,61.53846153846154,0.9958330703792488,-0.007868142310958446,-8.90741299799183,-16.183332121100698,-19.72929491304478,-23.27525770498886,-7.558198869074031,-28.158313551517622,5.872118411044528,15.048105732207256,-25.783074658388273,True,False,True,True,True,broken
