event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,True,True,False,False,False,fragile
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-5.719486039690906,-6.927515444291327,-7.220426371961031,-7.513337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139,True,False,True,True,False,broken
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.10019422569395425,0.2541551473493718,53.84615384615385,0.9351024308803354,-0.1377282019547979,-5.123665361089099,-7.186544190965788,-8.17432484072809,-9.162105490490392,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-18.776553699945588,True,False,True,True,False,broken
rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-6.060482604268151,-13.002371938146872,-11.613994071371128,-13.002371938146872,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035,True,True,False,False,False,fragile
rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-8.807462964683488,-16.08338208779235,-19.629344879736436,-23.17530767168052,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911,True,False,False,False,True,watch
rolling_2sigma,24h,sp500_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
rolling_2sigma,24h,sp500_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,16,1.4147664000766245,0.8163847143629943,68.75,3.341894057892904,1.6483759400176439,-3.155846710105982,-3.5321422852932787,-3.456883170255819,-3.5321422852932787,-2.715653073532254,-9.425650229529623,3.985106345837065,14.586244152905872,-3.4704901515850706,True,True,False,False,False,fragile
rolling_2sigma,24h,sp500_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,25,0.3459568813506496,0.24911872743674937,52.0,1.3110960577551642,0.5493850811626925,-3.3901631686278555,-5.520412136357907,-6.556733221259778,-7.513337299630736,-3.973101132208403,-12.257577792119946,2.897543089070315,6.898808550413792,-8.75491471851354,True,False,False,False,False,watch
rolling_2sigma,48h,sp500_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
rolling_2sigma,48h,sp500_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,16,0.8112759879556817,2.4884418425939097,68.75,1.6162340240376578,0.858838436410688,-5.54670163096573,-5.778124343285108,-5.731839800821232,-5.778124343285108,-3.5120378365151845,-9.425650229529623,4.952422959353385,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
rolling_2sigma,48h,sp500_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,25,0.11038004606208274,0.3083331087321959,56.00000000000001,1.0777108682393408,0.14962460451055498,-4.8862413838994625,-7.186544190965788,-8.213836066718583,-9.162105490490392,-5.115223634162467,-13.62172455334398,3.461734544866407,6.997349780838566,-15.638634847813526,True,False,False,False,False,watch
rolling_2sigma,5d,sp500_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
rolling_2sigma,5d,sp500_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,16,1.5869559627699572,3.8520130666793313,62.5,1.8444819786535551,0.9571505108041146,-12.858956490342013,-13.002371938146872,-12.973688848585901,-13.002371938146872,-5.050120777362629,-14.641592066042206,7.250816826512768,14.586244152905872,-12.192539671292035,True,True,False,False,False,fragile
rolling_2sigma,5d,sp500_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,25,1.0597412494329947,1.36295908700287,64.0,1.4288629984031214,0.6474375120426756,-8.844261672527628,-16.08338208779235,-19.771183391414198,-23.17530767168052,-7.045101369191764,-28.05836351820929,6.830404832715888,19.349579885581488,-20.685805565776118,True,False,False,False,True,watch
rolling_2sigma,24h,broad_3of4_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
rolling_2sigma,24h,broad_3of4_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,14,1.8173142572796237,1.168611007334897,71.42857142857143,5.148002908072107,2.004610105794626,-2.117325344198472,-3.0304148517102165,-2.8477969502078677,-3.0304148517102165,-2.721166284863305,-9.425650229529623,4.4462911072042,14.586244152905872,-2.984958113982661,True,True,False,False,False,fragile
rolling_2sigma,24h,broad_3of4_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,30,0.23360620172138258,0.26833654030886767,53.333333333333336,1.1902766647515701,0.38451723434503704,-5.075300611811838,-6.927515444291327,-7.173560623533878,-7.513337299630736,-3.8491747210539606,-12.257577792119946,2.766180966215729,6.898808550413792,-9.397810414459729,False,False,False,False,False,survives_this_test
rolling_2sigma,48h,broad_3of4_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
