horizon,group,leverage,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,margin_breach_30pct_count,margin_breach_30pct_rate,margin_breach_50pct_count,margin_breach_50pct_rate,margin_breach_80pct_count,margin_breach_80pct_rate,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
24h,funding_low_x_risk_on,1.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
24h,funding_low_x_risk_on,2.0,15,2.59463088214434,1.4520101692090712,66.66666666666666,3.122098551976723,1.4436330675370979,-6.36186616357027,-7.064284570586557,-6.9238008891833,-7.064284570586557,-5.301583707505145,-18.851300459059246,7.686292338591468,29.172488305811743,-6.820537284247652,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
24h,funding_low_x_risk_on,3.0,15,3.891946323216508,2.178015253813607,66.66666666666666,3.122098551976721,1.4436330675370972,-9.542799245355404,-10.596426855879836,-10.38570133377495,-10.596426855879836,-7.95237556125772,-28.276950688588865,11.5294385078872,43.75873245871762,-10.054321361097717,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
24h,funding_high_x_risk_off,1.0,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-5.719486039690906,-6.927515444291327,-7.220426371961031,-7.513337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139,0,0.0,0,0.0,0,0.0,True,False,True,True,False,broken
24h,funding_high_x_risk_off,2.0,26,-0.4848673086099143,-1.5586962602962706,42.30769230769231,0.8371910208086902,-0.36516281861309774,-11.438972079381813,-13.855030888582654,-14.440852743922061,-15.026674599261472,-8.660372701370047,-24.515155584239892,5.209969391196659,13.797617100827583,-34.793975473067476,0,0.0,0,0.0,0,0.0,True,False,True,True,True,broken
24h,funding_high_x_risk_off,3.0,26,-0.7273009629148716,-2.3380443904444057,42.30769230769231,0.83719102080869,-0.36516281861309774,-17.158458119072716,-20.78254633287398,-21.661279115883094,-22.54001189889221,-12.990559052055072,-36.77273337635984,7.814954086794986,20.696425651241373,-47.34597388476169,2,7.6923076923076925,0,0.0,0,0.0,True,False,True,True,True,broken
48h,funding_low_x_risk_on,1.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
48h,funding_low_x_risk_on,2.0,15,2.2300676367291183,4.832765370364871,73.33333333333333,2.0725232571152747,1.24091919157581,-11.028772160882646,-11.556248686570216,-11.450753381432701,-11.556248686570216,-6.498503314828106,-18.851300459059246,9.856495683870332,29.172488305811743,-11.979160596224448,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
48h,funding_low_x_risk_on,3.0,15,3.3451014550936775,7.249148055547307,73.33333333333333,2.0725232571152747,1.2409191915758102,-16.54315824132397,-17.334373029855325,-17.176130072149054,-17.334373029855325,-9.747754972242163,-28.276950688588865,14.784743525805496,43.75873245871762,-17.419357250764765,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
48h,funding_high_x_risk_off,1.0,26,-0.10019422569395425,0.2541551473493718,53.84615384615385,0.9351024308803354,-0.1377282019547979,-5.123665361089099,-7.186544190965788,-8.17432484072809,-9.162105490490392,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-18.776553699945588,0,0.0,0,0.0,0,0.0,True,False,True,True,False,broken
48h,funding_high_x_risk_off,2.0,26,-0.2003884513879085,0.5083102946987436,53.84615384615385,0.9351024308803354,-0.1377282019547979,-10.247330722178198,-14.373088381931575,-16.34864968145618,-18.324210980980784,-10.693757946168745,-27.24344910668796,6.40554818361367,13.994699561677132,-34.02751771142179,0,0.0,0,0.0,0,0.0,True,False,True,True,True,broken
48h,funding_high_x_risk_off,3.0,26,-0.30058267708186315,0.7624654420481154,53.84615384615385,0.9351024308803357,-0.13772820195479807,-15.370996083267297,-21.559632572897367,-24.52297452218427,-27.486316471471177,-16.040636919253114,-40.86517366003194,9.608322275420502,20.9920493425157,-46.41487627552375,3,11.538461538461538,0,0.0,0,0.0,True,False,True,True,True,broken
5d,funding_low_x_risk_on,1.0,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-6.060482604268151,-13.002371938146872,-11.613994071371128,-13.002371938146872,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035,0,0.0,0,0.0,0,0.0,True,True,False,False,False,fragile
5d,funding_low_x_risk_on,2.0,15,4.388144401112178,7.1736242573499895,66.66666666666666,2.9072087417385815,1.5295044349928597,-12.120965208536303,-26.004743876293745,-23.227988142742255,-26.004743876293745,-8.908426292559861,-29.28318413208441,14.464288283259144,29.172488305811743,-22.89849910622378,0,0.0,0,0.0,0,0.0,True,True,False,False,True,fragile
5d,funding_low_x_risk_on,3.0,15,6.582216601668264,10.760436386024983,66.66666666666666,2.907208741738582,1.529504434992859,-18.181447812804453,-39.00711581444062,-34.841982214113386,-39.00711581444062,-13.36263943883979,-43.924776198126615,21.696432424888705,43.75873245871762,-32.299130189859014,1,6.666666666666667,0,0.0,0,0.0,True,True,False,False,True,fragile
5d,funding_high_x_risk_off,1.0,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-8.807462964683488,-16.08338208779235,-19.629344879736436,-23.17530767168052,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911,0,0.0,0,0.0,0,0.0,True,False,False,False,True,watch
5d,funding_high_x_risk_off,2.0,26,0.1770521479808936,2.629768654731858,61.53846153846154,1.0327494103485013,0.060971483616567825,-17.614925929366976,-32.1667641755847,-39.25868975947287,-46.35061534336104,-14.916497671531385,-56.11672703641858,11.944136888705735,30.29611153103118,-43.918539978973435,3,11.538461538461538,1,3.8461538461538463,0,0.0,True,False,False,False,True,watch
5d,funding_high_x_risk_off,3.0,26,0.2655782219713407,3.9446529820977876,61.53846153846154,1.0327494103485015,0.06097148361656789,-26.422388894050464,-48.25014626337706,-58.88803463920931,-69.52592301504156,-22.374746507297075,-84.17509055462786,17.916205333058603,45.444167296546766,-58.00196537671681,6,23.076923076923077,2,7.6923076923076925,1,3.8461538461538463,True,False,False,False,True,watch
