horizon,group,stop_case,stop_level_pct,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
24h,funding_low_x_risk_on,stop_3pct,-3.0,15,0.029660759856696275,0.1507768206005336,53.333333333333336,1.0274443093836287,0.0403806062359751,-3.0459207484708575,-3.0459207484708575,-3.0459207484708575,-3.0459207484708575,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-5.910000000000004,True,True,False,False,False,fragile
24h,funding_low_x_risk_on,stop_5pct,-5.0,15,0.5890138238411421,0.4153399252739356,60.0,1.4962752476929888,0.5560445801412119,-5.129329438755057,-5.129329438755057,-5.129329438755057,-5.129329438755057,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-7.835710208283542,True,True,False,False,False,fragile
24h,funding_low_x_risk_on,stop_10pct,-10.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,True,True,False,False,False,fragile
24h,funding_high_x_risk_off,stop_3pct,-3.0,26,-1.09368551716175,-3.0459207484708575,30.76923076923077,0.46836080980794764,-1.8026645465316782,-3.0459207484708575,-3.045920748470857,-3.0459207484708575,-3.045920748470857,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-22.842307363089056,True,False,True,True,True,broken
24h,funding_high_x_risk_off,stop_5pct,-5.0,26,-1.1338603933738505,-1.677593547569816,38.46153846153847,0.49719763135061207,-1.5495753041411564,-5.129329438755057,-5.129329438755057,-5.129329438755057,-5.129329438755057,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-30.306491861393546,True,False,True,True,True,broken
24h,funding_high_x_risk_off,stop_10pct,-10.0,26,-0.7579470034750743,-0.973130529821158,42.30769230769231,0.6218926346137761,-0.9226647703502535,-9.487462071574951,-10.536051565782628,-10.536051565782628,-10.536051565782628,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-26.021271001899592,True,False,True,True,True,broken
48h,funding_low_x_risk_on,stop_3pct,-3.0,15,0.7593195655308455,1.595911508038133,60.0,1.7027232751833643,0.9449457058655353,-3.0459207484708575,-3.0459207484708575,-3.0459207484708575,-3.0459207484708575,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-7.410879061942232,True,True,False,False,False,fragile
48h,funding_low_x_risk_on,stop_5pct,-5.0,15,0.17769952059437888,1.595911508038133,60.0,1.1069088862389496,0.1758521655419716,-5.129329438755057,-5.129329438755057,-5.129329438755057,-5.129329438755057,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-13.020766951287833,True,True,False,False,False,fragile
48h,funding_low_x_risk_on,stop_10pct,-10.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
48h,funding_high_x_risk_off,stop_3pct,-3.0,26,-1.4367663740881764,-3.0459207484708575,26.923076923076923,0.3545132929008609,-2.5617559425368577,-3.0459207484708575,-3.0459207484708566,-3.0459207484708575,-3.0459207484708566,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-30.363282810969906,True,False,True,True,True,broken
48h,funding_high_x_risk_off,stop_5pct,-5.0,26,-1.8692479302139606,-3.9323878400348926,34.61538461538461,0.34606553338489493,-2.4683310829228553,-5.129329438755057,-5.129329438755058,-5.129329438755057,-5.129329438755058,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-42.05083764853258,True,False,True,True,True,broken
48h,funding_high_x_risk_off,stop_10pct,-10.0,26,-0.7506841636602577,0.2541551473493718,53.84615384615385,0.657904862784275,-0.8066728035395775,-10.536051565782628,-10.536051565782628,-10.536051565782628,-10.536051565782628,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-25.511604277183963,True,False,True,True,True,broken
5d,funding_low_x_risk_on,stop_3pct,-3.0,15,1.238954207501113,0.338093621263299,53.333333333333336,1.8716253942422862,1.020884399060112,-3.0459207484708575,-3.045920748470857,-3.0459207484708575,-3.045920748470857,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.591610651243613,True,True,False,False,False,fragile
5d,funding_low_x_risk_on,stop_5pct,-5.0,15,0.7448807331762228,0.338093621263299,53.333333333333336,1.3888694886644646,0.5396321296539929,-5.129329438755057,-5.129329438755057,-5.129329438755057,-5.129329438755057,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-17.373273820472747,True,True,False,False,False,fragile
5d,funding_low_x_risk_on,stop_10pct,-10.0,15,2.358493558713705,3.5868121286749948,66.66666666666666,3.3920086072552835,1.7942315611645843,-5.320586492558878,-10.536051565782628,-9.492958551137878,-10.536051565782628,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-9.999999999999998,True,True,False,False,False,fragile
5d,funding_high_x_risk_off,stop_3pct,-3.0,26,-1.4179793862230303,-3.0459207484708575,26.923076923076923,0.3629536010484405,-2.1541069605971046,-3.0459207484708575,-3.0459207484708566,-3.0459207484708575,-3.0459207484708566,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-28.69583413056015,True,False,True,True,True,broken
5d,funding_high_x_risk_off,stop_5pct,-5.0,26,-2.077418189256058,-5.129329438755057,34.61538461538461,0.35241896501049486,-2.3602559061654342,-5.129329438755057,-5.129329438755058,-5.129329438755057,-5.129329438755058,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-43.47606221547407,True,False,True,True,True,broken
5d,funding_high_x_risk_off,stop_10pct,-10.0,26,-0.06592596494961293,1.314884327365929,61.53846153846154,0.9769294980651346,-0.04790478197248769,-10.536051565782628,-10.53605156578263,-10.536051565782628,-10.53605156578263,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-21.380158763368673,True,False,True,True,True,broken
