fold,stage,period_start,period_end,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
wf_1,train,2020-01-01,2022-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,40,0.9538268492762711,1.0731746323835643,60.0,1.5992883824852542,1.1609713161619446,-6.673660553814162,-11.554929833698765,-12.076830116543116,-13.927203846627641,-5.402308769281836,-36.61731954434463,4.387323790970896,14.586244152905872,-13.000867484225974,False,False,False,False,False,survives_this_test
wf_1,train,2020-01-01,2022-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,5.9867176880559585,5.9867176880559585,100.0,inf,1.4984811418422999,2.3910461985729095,1.9915271441859044,2.071430955063305,1.9915271441859044,-7.141840866089829,-9.425650229529623,11.1250995470415,14.586244152905872,0.0,True,True,False,False,False,fragile
wf_1,train,2020-01-01,2022-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,0.1882215420262184,0.1767222677075117,50.0,1.2249020395834112,0.1718499025727558,-1.9196383089152609,-2.0249936773251798,-2.003922603643196,-2.0249936773251798,-4.0282808033022155,-5.911555222026431,2.868521485761696,5.133733710674386,-1.3139163107656948,True,True,False,False,False,fragile
wf_1,train,2020-01-01,2022-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,40,2.4936802373576707,3.406358252466383,70.0,2.802747776087968,2.78487113745987,-5.808085533284695,-7.185855716909792,-7.363727383109038,-7.9943632905427275,-6.223827628801648,-36.61731954434463,6.363422733943927,16.013387372730936,-20.999356571938165,False,False,False,False,True,watch
wf_1,train,2020-01-01,2022-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,-0.9319967870831218,-0.9319967870831218,50.0,0.6774050775953907,-0.1923178406417242,-5.293511587664909,-5.778124343285108,-5.681201792161068,-5.778124343285108,-9.288964731664509,-9.425650229529623,11.299405014010375,14.586244152905872,0.0,True,True,True,True,False,broken
wf_1,train,2020-01-01,2022-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,1.793998741858966,2.2803300567404405,75.0,4.148231470852537,1.0586974916521537,-1.891217395538479,-2.2793733668803626,-2.201742172611986,-2.2793733668803626,-6.516720407825671,-13.62172455334398,4.403001969363028,6.26513409602875,-2.2535919088942924,True,True,False,False,False,fragile
wf_1,test,2022-01-01,2023-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,33,-0.6521005735318531,-0.17352808724850854,48.484848484848484,0.7212892132033916,-0.686660129304853,-10.379595156314252,-12.944604151208821,-13.439746740785463,-14.320000233366162,-5.121497572537727,-20.25185698185711,3.408388831896034,12.712233819312827,-25.855070414509353,False,False,True,True,True,broken
wf_1,test,2022-01-01,2023-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,4,0.333333132532203,-0.7374424713150383,50.0,1.2863639584130333,0.17119517959411512,-2.8197018884382756,-3.0304148517102165,-2.988272259055828,-3.0304148517102165,-3.135930858452446,-5.9460107683525445,3.720756081731974,10.59305729548261,-1.6125191966570918,True,True,False,False,False,fragile
wf_1,test,2022-01-01,2023-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,0,,,,,,,,,,,,,,,True,True,False,False,False,fragile
wf_1,test,2022-01-01,2023-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,33,-1.1230150324174923,1.1827252674730024,57.57575757575758,0.62623843687118,-0.9273290971708742,-14.923588632994766,-19.15659681170884,-19.78244043222988,-20.895051313156173,-6.467719552889969,-25.785250679330478,4.104271845410241,13.370013590182026,-42.4412787279136,False,False,True,True,True,broken
