window_name,dd_multiplier,historical_maxdd_pct,stressed_maxdd_pct,required_capital_pct_for_1x,note
1y,1.0,-4.209276614990321,-4.209276614990321,4.209276614990321,"Treat historical max DD as a baseline, not a future upper bound."
1y,1.5,-4.209276614990321,-6.313914922485481,6.313914922485481,"Treat historical max DD as a baseline, not a future upper bound."
1y,2.0,-4.209276614990321,-8.418553229980642,8.418553229980642,"Treat historical max DD as a baseline, not a future upper bound."
1y,3.0,-4.209276614990321,-12.627829844970963,12.627829844970963,"Treat historical max DD as a baseline, not a future upper bound."
3y,1.0,-13.614214514664702,-13.614214514664702,13.614214514664702,"Treat historical max DD as a baseline, not a future upper bound."
3y,1.5,-13.614214514664702,-20.421321771997054,20.421321771997054,"Treat historical max DD as a baseline, not a future upper bound."
3y,2.0,-13.614214514664702,-27.228429029329405,27.228429029329405,"Treat historical max DD as a baseline, not a future upper bound."
3y,3.0,-13.614214514664702,-40.84264354399411,40.84264354399411,"Treat historical max DD as a baseline, not a future upper bound."
5y,1.0,-15.919560712258585,-15.919560712258585,15.919560712258585,"Treat historical max DD as a baseline, not a future upper bound."
5y,1.5,-15.919560712258585,-23.879341068387877,23.879341068387877,"Treat historical max DD as a baseline, not a future upper bound."
5y,2.0,-15.919560712258585,-31.83912142451717,31.83912142451717,"Treat historical max DD as a baseline, not a future upper bound."
5y,3.0,-15.919560712258585,-47.758682136775754,47.758682136775754,"Treat historical max DD as a baseline, not a future upper bound."
full,1.0,-20.529290035020676,-20.529290035020676,20.529290035020676,"Treat historical max DD as a baseline, not a future upper bound."
full,1.5,-20.529290035020676,-30.793935052531012,30.793935052531012,"Treat historical max DD as a baseline, not a future upper bound."
full,2.0,-20.529290035020676,-41.05858007004135,41.05858007004135,"Treat historical max DD as a baseline, not a future upper bound."
full,3.0,-20.529290035020676,-61.587870105062024,61.587870105062024,"Treat historical max DD as a baseline, not a future upper bound."
