window_name,dial,stress_case,stress_value,mean_ret_pct,hist_var_99_pct,hist_es_99_pct,maxdd_pct,note
1y,vol_multiplier,vol_x1,1.0,0.006358513208584111,-0.5455836426815366,-0.9200830084820052,-4.209276614990321,Scale deviations around the historical mean.
1y,vol_multiplier,vol_x1.1,1.1,0.006358513208584111,-0.6007778582705487,-1.0127271606510644,-4.65792769903135,Scale deviations around the historical mean.
1y,vol_multiplier,vol_x1.2,1.2,0.006358513208584111,-0.6559720738595607,-1.1053713128201232,-5.139211551819278,Scale deviations around the historical mean.
1y,vol_multiplier,vol_x1.5,1.5,0.006358513208584113,-0.8215547206265968,-1.3833037693273,-6.576952075974873,Scale deviations around the historical mean.
1y,mean_degradation,mean_down_0pct,0.0,0.006358513208584111,-0.5455836426815366,-0.9200830084820052,-4.209276614990321,Reduce historical average return as an edge-decay dial.
1y,mean_degradation,mean_down_25pct,0.25,0.004768884906438083,-0.5471732709836825,-0.9216726367841513,-4.3677996836421045,Reduce historical average return as an edge-decay dial.
1y,mean_degradation,mean_down_50pct,0.5,0.0031792566042920553,-0.5487628992858287,-0.9232622650862973,-4.566738220054257,Reduce historical average return as an edge-decay dial.
1y,mean_degradation,mean_down_100pct,1.0,8.614393425086565e-19,-0.5519421558901206,-0.9264415216905895,-5.648534762125312,Reduce historical average return as an edge-decay dial.
1y,cost_multiplier,cost_x1,1.0,-0.0036414867914158896,-0.5555836426815366,-0.9300830084820052,-8.562348819062093,Apply 1bps base cost per 4H return as a turnover stress dial.
1y,cost_multiplier,cost_x2,2.0,-0.01364148679141589,-0.5655836426815365,-0.9400830084820053,-20.37834693669621,Apply 1bps base cost per 4H return as a turnover stress dial.
1y,cost_multiplier,cost_x5,5.0,-0.043641486791415884,-0.5955836426815366,-0.9700830084820052,-50.523703933231445,Apply 1bps base cost per 4H return as a turnover stress dial.
3y,vol_multiplier,vol_x1,1.0,0.002931037958133209,-0.6539869600917874,-1.0378713138347933,-13.614214514664702,Scale deviations around the historical mean.
3y,vol_multiplier,vol_x1.1,1.1,0.0029310379581332082,-0.7196787598967795,-1.141951549014086,-14.970730049284754,Scale deviations around the historical mean.
3y,vol_multiplier,vol_x1.2,1.2,0.0029310379581332065,-0.7853705597017714,-1.2460317841933786,-16.50174353499224,Scale deviations around the historical mean.
3y,vol_multiplier,vol_x1.5,1.5,0.0029310379581332082,-0.9824459591167475,-1.5582724897312563,-20.931358481301242,Scale deviations around the historical mean.
3y,mean_degradation,mean_down_0pct,0.0,0.0029310379581332082,-0.6539869600917874,-1.0378713138347933,-13.614214514664702,Reduce historical average return as an edge-decay dial.
3y,mean_degradation,mean_down_25pct,0.25,0.002198278468599904,-0.6547197195813207,-1.0386040733243265,-14.223758621603434,Reduce historical average return as an edge-decay dial.
3y,mean_degradation,mean_down_50pct,0.5,0.0014655189790666033,-0.655452479070854,-1.0393368328138597,-15.0282563054698,Reduce historical average return as an edge-decay dial.
3y,mean_degradation,mean_down_100pct,1.0,1.5802863963349796e-18,-0.6569179980499206,-1.0408023517929264,-16.61468622526864,Reduce historical average return as an edge-decay dial.
3y,cost_multiplier,cost_x1,1.0,-0.007068962041866794,-0.6639869600917874,-1.0478713138347933,-31.98081215844939,Apply 1bps base cost per 4H return as a turnover stress dial.
3y,cost_multiplier,cost_x2,2.0,-0.01706896204186679,-0.6739869600917874,-1.057871313834793,-57.10553678806325,Apply 1bps base cost per 4H return as a turnover stress dial.
3y,cost_multiplier,cost_x5,5.0,-0.0470689620418668,-0.7039869600917873,-1.0878713138347933,-89.73748833564687,Apply 1bps base cost per 4H return as a turnover stress dial.
5y,vol_multiplier,vol_x1,1.0,0.004731443188146788,-0.6939789779705434,-1.153673006867075,-15.919560712258585,Scale deviations around the historical mean.
5y,vol_multiplier,vol_x1.1,1.1,0.004731443188146789,-0.7638500200864125,-1.2695134518725975,-17.5121859757254,Scale deviations around the historical mean.
5y,vol_multiplier,vol_x1.2,1.2,0.004731443188146789,-0.8337210622022813,-1.3853538968781196,-19.074644231844008,Scale deviations around the historical mean.
5y,vol_multiplier,vol_x1.5,1.5,0.004731443188146791,-1.0433341885498886,-1.7328752318946858,-23.58667718315609,Scale deviations around the historical mean.
5y,mean_degradation,mean_down_0pct,0.0,0.004731443188146788,-0.6939789779705434,-1.153673006867075,-15.919560712258585,Reduce historical average return as an edge-decay dial.
5y,mean_degradation,mean_down_25pct,0.25,0.0035485823911100933,-0.6951618387675801,-1.1548558676641119,-16.293673003854924,Reduce historical average return as an edge-decay dial.
5y,mean_degradation,mean_down_50pct,0.5,0.002365721594073398,-0.6963446995646168,-1.1560387284611484,-16.666120698930232,Reduce historical average return as an edge-decay dial.
5y,mean_degradation,mean_down_100pct,1.0,4.824060318048476e-18,-0.6987104211586902,-1.1584044500552217,-23.509706173453402,Reduce historical average return as an edge-decay dial.
5y,cost_multiplier,cost_x1,1.0,-0.00526855681185321,-0.7039789779705434,-1.1636730068670749,-41.8239551926208,Apply 1bps base cost per 4H return as a turnover stress dial.
5y,cost_multiplier,cost_x2,2.0,-0.015268556811853216,-0.7139789779705433,-1.173673006867075,-70.9599754763164,Apply 1bps base cost per 4H return as a turnover stress dial.
5y,cost_multiplier,cost_x5,5.0,-0.04526855681185322,-0.7439789779705435,-1.2036730068670751,-97.39167694779573,Apply 1bps base cost per 4H return as a turnover stress dial.
full,vol_multiplier,vol_x1,1.0,0.0022390063430588404,-0.6406749046599605,-0.9759643699885863,-20.529290035020676,Scale deviations around the historical mean.
full,vol_multiplier,vol_x1.1,1.1,0.0022390063430588404,-0.7049662957602624,-1.0737847076217508,-22.668239035952098,Scale deviations around the historical mean.
full,vol_multiplier,vol_x1.2,1.2,0.00223900634305884,-0.7692576868605643,-1.1716050452549152,-24.749618363344673,Scale deviations around the historical mean.
