z_bin,0-5,5-10,10-25,25-50,50-75,75-90,90-95,95-100
<=-2.5,5.093380181112205,-1.4380304743944299,-2.0832869525002145,-4.668655106078303,,,,
-2.5~-2.0,-0.8537622795542976,-1.409907327241032,-0.7103203769002776,-0.2676706834717133,,,,
-2.0~-1.5,-1.185424549554178,-0.9532569638260943,0.10054130265879244,-3.5848477552658586,,,,
-1.5~-1.0,-0.058931335127537544,-2.779692798990796,-1.0809150492970776,-1.056236816994318,,,,
-1.0~0,0.9533340957606573,0.11867280948577659,0.17284268891210483,-0.6626468514344779,,,,
0~1.0,,,,,-1.305796485516966,-1.3947262884170972,-1.2601418513384466,-3.2646598330736363
1.0~1.5,,,,,0.32691208510853226,-1.6079182202126832,0.83952864836931,-1.1865287705696117
1.5~2.0,,,,,-1.7323688245207707,-1.5880398950123993,1.25410209915205,0.04399584528497583
2.0~2.5,,,,,-2.3118001784481903,-1.5112850919837415,0.30241602534104545,-1.033312573034444
>=2.5,,,,,4.290684685181396,6.9577220395098545,14.068184993959287,5.601851132936779
