z_bin,0-5,5-10,10-25,25-50,50-75,75-90,90-95,95-100
<=-2.5,53.28358208955224,51.32275132275132,50.0,50.51020408163265,,,,
-2.5~-2.0,54.90196078431372,51.94805194805195,50.413223140495866,48.466257668711656,,,,
-2.0~-1.5,49.857142857142854,53.7037037037037,50.19505851755527,46.11528822055138,,,,
-1.5~-1.0,51.49625935162095,50.47106325706595,53.48837209302326,51.43014301430143,,,,
-1.0~0,53.217503217503214,51.733057423693744,52.09942895532415,50.76955964087217,,,,
0~1.0,,,,,46.87124503188834,46.87597625741956,47.718930256948084,46.60912453760789
1.0~1.5,,,,,50.864890135577376,48.468468468468465,50.78683834048641,49.29577464788732
1.5~2.0,,,,,46.69603524229075,49.19786096256684,50.2906976744186,50.70175438596491
2.0~2.5,,,,,48.16053511705686,49.03225806451613,48.68421052631579,45.954692556634306
>=2.5,,,,,54.34782608695652,57.23270440251572,66.66666666666667,53.56037151702786
