year,condition_id,condition,short_label,direction,horizon_hours,n,rebound_probability_%,mean_net_return_bps,median_net_return_bps,p5_net_return_bps,p95_net_return_bps,std_net_return_bps,t_stat
2010,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,44,63.63636363636363,21.560888181676713,29.0937225058192,-68.0790992189361,122.11854035468565,60.80550683340224,2.3520690795771
2011,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,128,57.03125,-2.7546582272851254,3.8786268113170785,-138.140498795834,96.81228877280843,78.78749974816247,-0.3955627516731914
2012,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,77,49.35064935064935,-0.09948428762771044,-0.38676739808737687,-39.0476018455999,45.758336257472635,27.653292030146375,-0.031568432434249054
2013,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,93,61.29032258064516,4.174615710532399,9.620613209519629,-77.73312091768278,74.32459537084922,51.65631803738771,0.7793535719017114
2014,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,110,49.09090909090909,1.0569134532534166,-1.301134728155645,-44.43697743900401,58.421948377486004,31.848021245875206,0.34805935758593487
2015,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,95,51.578947368421055,0.8869241028557763,2.4667524667531007,-98.47234902565779,94.44276582568814,59.13457920867922,0.14618632525452485
2016,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,102,54.90196078431373,6.214689459934063,6.24840890031687,-65.8541034011565,105.1217469858569,77.8019845305932,0.8067311813403724
2017,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,77,49.35064935064935,1.7519252387166693,-0.23310294991780467,-33.25348643142768,41.39426805015505,25.61594433790585,0.600137218301318
2018,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,110,58.18181818181818,3.047545447087245,4.059346886835263,-45.27483041377651,47.61115977291236,30.924645539964878,1.0335745404017953
2019,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,78,47.43589743589743,0.1801338427976008,-1.1402814716804683,-46.72030065200825,59.30433254166324,39.72012013527247,0.04005272436495842
2020,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,95,57.89473684210527,4.0072471374814755,6.451991319139936,-81.74794009707682,107.35711092777616,73.21340141742994,0.5334790213497421
2021,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,116,48.275862068965516,-4.720016499738589,-0.24021578233304683,-56.950433891104474,32.28535151266263,28.586321949692515,-1.7783376810922567
2022,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,106,55.660377358490564,3.047632072973543,5.70822332393845,-81.07337579518412,77.0921676415862,48.79246734300165,0.6430765718111524
2023,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,88,50.0,2.58105544508676,-0.05741399839250605,-47.8292968651902,67.43357798012306,35.06681869945949,0.6904660066468828
2024,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,121,44.62809917355372,-5.376762749364124,-3.108214427942936,-80.10918585331045,63.07352007183408,44.78964539752893,-1.320492487003891
2025,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,80,55.00000000000001,-1.356037306232367,4.79568416436061,-96.69410051329822,57.61911592929026,52.6717536959019,-0.23027079100251716
2026,oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,29,68.96551724137932,17.368180768254582,14.822179041077053,-53.40595934621749,90.80261020868315,42.86714936318466,2.1818692688131285
2010,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,20,70.0,35.2331881034071,40.75278212054521,-60.780092628746885,159.73900680503382,69.82613211242169,2.256570750228909
2011,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,68,57.35294117647059,0.01442729643332133,3.867240298682206,-112.88624654257801,65.95981983044089,89.39664323110178,0.001330816570660349
2012,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,23,52.17391304347826,-2.3726638637592514,4.8482609749618675,-39.702114289477656,48.2067857748585,32.45510974305436,-0.3506041496124272
2013,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,37,59.45945945945946,10.504430136276785,11.954636999062991,-75.45123673817392,93.09257755873764,50.78788886363151,1.258094310764605
2014,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,52,53.84615384615385,7.033484961862832,0.3665289252963956,-31.76208269694945,67.0059950825877,31.811266932671913,1.5943779120067445
2015,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,40,55.00000000000001,1.8177017360994023,18.51902513878347,-130.53555824430146,103.30138053733575,80.28921274917334,0.14318430573914429
2016,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,43,55.81395348837209,25.343048803732177,10.929498593902618,-63.86716909051038,209.92601436693576,89.82630147902705,1.8500760001530356
2017,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,32,40.625,0.5294734403349244,-3.8607445999886614,-32.4790987530199,41.599154238493476,25.701940456436464,0.11653416153650374
2018,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,46,58.69565217391305,4.65031475453073,3.8159550001379166,-50.98863739502562,49.68470880046084,37.116140528680646,0.8497642465345179
2019,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,35,40.0,3.208250657388368,-2.74303269694981,-52.85561448065551,95.10595388677918,48.9758778757627,0.38754316770877884
2020,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,42,57.14285714285714,5.46392070793347,11.443255062902722,-70.98302023962584,127.53113905147563,88.16914200831876,0.40161730621623803
2021,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,47,46.808510638297875,-3.313680628436477,-0.2400873918105918,-46.4084423289458,26.080299802380768,27.0986302834579,-0.8383246535699631
2022,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,40,47.5,-2.4395046168045624,-3.622492770013744,-81.2916471047258,77.42141055897416,51.494840572854976,-0.29961801476729927
2023,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,41,53.65853658536586,3.6420136510385546,3.1685678073507293,-45.27587876876702,71.03831317941649,38.683464508208694,0.602848430938177
2024,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,62,45.16129032258064,-3.9107422845115933,-0.8169297678472248,-78.92213364659779,66.64180896245902,47.104405541558044,-0.6537226229149159
2025,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,30,63.33333333333333,10.694973320184578,20.69512374348963,-53.025968002609034,64.48231632953436,45.89643190634018,1.2763253909007688
2026,strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,12,66.66666666666666,24.801102994319397,15.704244443308086,-53.28951647423889,96.84834711599673,57.05847810734955,1.5057103482182312
2010,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,29,37.93103448275862,-16.558558810979587,-11.81753722524267,-94.0990419352918,51.92611397133867,45.02153830374658,-1.9806201992510253
2011,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,53,50.943396226415096,-0.3892188124717743,0.9674337610186027,-83.0867058645723,79.08014336835694,51.637112796324914,-0.05487440277589362
2012,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,67,55.223880597014926,5.137789267685434,1.376049237542532,-33.97292299780682,60.063541169213885,30.40147637862669,1.3833083992299589
2013,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,52,46.15384615384615,-0.46204712979819534,-1.7854670712580016,-63.27865192669671,60.66440620105885,44.91653047590257,-0.07417913184822329
2014,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,55,47.27272727272727,-2.882769070708756,-2.7509755774492595,-68.68696520607783,54.798524504887546,37.653651325709376,-0.5677852444083966
2015,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,57,50.877192982456144,2.001276552907352,0.10592098294675781,-56.54754389386564,56.074927066147694,35.742101432882954,0.4227313456096685
2016,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,57,54.385964912280706,29.024489463121466,3.4190956492009525,-74.95928170813868,176.07285144361504,103.81959558153603,2.110681406408782
2017,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,44,63.63636363636363,5.251925177725587,10.537312756388017,-31.905932302951005,43.875718531274615,23.61874741998044,1.4749863683965674
2018,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,46,65.21739130434783,4.32301388084515,3.4881093357869255,-23.0777782908574,30.218019429161806,16.755339789837937,1.7498962736228927
2019,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,65,49.23076923076923,-0.3720352485702739,-0.2520542420728654,-42.65326290779981,53.62379403317151,28.09026110597592,-0.10677878906535923
2020,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,73,50.68493150684932,1.09751609914244,1.0724291861591129,-72.68824637335454,73.73784152812436,56.674378047920214,0.16545716044189404
