horizon_hours,direction,n,rebound_probability_%,mean_net_return_bps,median_net_return_bps,p5_net_return_bps,p95_net_return_bps,std_net_return_bps,t_stat
1,Long,99476,47.54312598013591,-0.8803045455047238,-0.5969906133246923,-25.04163835164659,22.09973070489339,16.502828509279276,-16.82417257555524
1,Short,99476,44.89324058064257,-0.9712259946628699,-1.2454915977026377,-23.984655854386983,23.182005970561796,16.504067091536186,-18.56044882702792
2,Long,99475,48.72983161598391,-0.835666594365381,-0.42746003248644004,-35.564617440607826,32.20244795955027,23.041182363144575,-11.438926101290143
2,Short,99475,45.9271173661724,-1.0158684481798446,-1.3914309261573443,-34.07579319078808,33.660944551947615,23.042884036656385,-13.904571557407108
4,Long,99473,49.77531591487137,-0.7475657198574286,-0.1099989000104497,-50.105807490204555,46.10769936443988,32.101725176317096,-7.344692431634005
4,Short,99473,46.54629899570738,-1.1039783160732726,-1.7498031471459747,-47.98066868478666,48.23934029333422,32.10407129956627,-10.845586438179213
8,Long,99469,50.930440639797325,-0.5734876149645455,0.7237984944991902,-71.25767837940724,65.12777411257586,44.79425066694596,-4.037807805802594
8,Short,99469,46.625581839568106,-1.27807437508885,-2.5333558520509345,-66.99280323912086,69.39024170970485,44.79748935752768,-8.998007036402432
12,Long,99465,51.375860855577336,-0.3999870366496089,1.300728407909074,-87.61714984659811,80.19656811590272,54.81167273951394,-2.301484231828961
12,Short,99465,46.71291409038355,-1.4515929134480932,-3.1238791637266092,-82.07752444332552,85.77393715965555,54.81563662733093,-8.351712206587466
24,Long,99453,52.235729440037005,0.12009731535495428,3.1960501228832934,-124.90151467209763,113.73334475872231,77.11229389995746,0.49115505806439985
24,Short,99453,46.48426895116286,-1.9717310712701974,-5.037593038045977,-115.58835640895892,122.98636348542989,77.11782831272063,-8.063096050189277
