combo_id,is_blocks,oos_blocks,is_start,is_end,oos_start,oos_end,selected_strategy_id,selected_strategy_index,selected_is_sharpe,selected_oos_sharpe,selected_is_cum_return,selected_oos_cum_return,oos_rank_desc_1_best,oos_percentile_desc_1_best,oos_median_sharpe,oos_median_or_worse,oos_loss,best_oos_strategy_id,best_oos_sharpe
1,0;1;2;3,4;5;6;7,2020-01-01 22:00,2022-12-30 07:00,2022-12-30 08:00,2025-12-31 20:00,ma_s20_l50_sl_atr1_5_tp_none,78,0.9469964291196926,0.19151618292282505,0.2638391417247632,0.04388642665645137,9,0.0625,-0.28380163843228123,False,False,ma_s10_l50_sl_none_tp_none,0.5726746772642642
2,0;1;2;4,3;5;6;7,2020-01-01 22:00,2023-09-29 05:00,2022-04-01 08:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,1.2155465073219,0.0921303224054706,0.33721843152460473,0.012934333615539861,42,0.2916666666666667,-0.22818842695803454,False,False,ma_s5_l50_sl_atr1_5_tp_none,0.561515580313777
3,0;1;2;5,3;4;6;7,2020-01-01 22:00,2024-07-01 19:00,2022-04-01 08:00,2025-12-31 20:00,ma_s10_l50_sl_none_tp_none,36,0.8087611846760494,0.3098184808474378,0.19084979359556797,0.09058379510822734,4,0.027777777777777776,-0.3633487736596123,False,False,ma_s20_l50_sl_none_tp_none,0.4529618770727613
4,0;1;2;6,3;4;5;7,2020-01-01 22:00,2025-04-02 07:00,2022-04-01 08:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.8296155656146302,0.37269205132410654,0.22241816081640886,0.10806146722341081,7,0.04861111111111111,-0.5485883899612325,False,False,ma_s10_l50_sl_atr1_5_tp_none,0.5435932690702705
5,0;1;2;7,3;4;5;6,2020-01-01 22:00,2025-12-31 20:00,2022-04-01 08:00,2025-04-02 07:00,ma_s20_l50_sl_none_tp_none,72,0.8943292077548969,0.35752255711583397,0.22404638638273044,0.10658752470778543,20,0.1388888888888889,-0.2933769948061394,False,False,ma_s10_l200_sl_atr1_0_tp_none,0.6627542783647993
6,0;1;3;4,2;5;6;7,2020-01-01 22:00,2023-09-29 05:00,2021-07-02 09:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.7901266582670278,0.3383789002103542,0.24811878116559183,0.08524483508678449,9,0.0625,-0.23832293717738912,False,False,ma_s10_l50_sl_none_tp_none,0.7476066954311023
7,0;1;3;5,2;4;6;7,2020-01-01 22:00,2024-07-01 19:00,2021-07-02 09:00,2025-12-31 20:00,ma_s10_l150_sl_atr1_0_tp_none,57,0.7465222894849946,-0.2526942345996172,0.21066955273234012,-0.0833168722788189,47,0.3263888888888889,-0.42203936662972485,False,True,ma_s10_l50_sl_none_tp_none,0.7715877194969631
8,0;1;3;6,2;4;5;7,2020-01-01 22:00,2025-04-02 07:00,2021-07-02 09:00,2025-12-31 20:00,ma_s20_l100_sl_atr1_5_tp_none,87,0.8666663359354405,-0.3597893578674928,0.27279142182053473,-0.10306733777658716,38,0.2638888888888889,-0.7018921351806432,False,True,ma_s10_l50_sl_none_tp_none,1.0210459441830746
9,0;1;3;7,2;4;5;6,2020-01-01 22:00,2025-12-31 20:00,2021-07-02 09:00,2025-04-02 07:00,ma_s20_l100_sl_atr1_5_tp_none,87,0.5757917718191192,-0.012089492421984356,0.160565213434255,-0.01633429538142117,45,0.3125,-0.26424496362793537,False,True,ma_s10_l50_sl_none_tp_none,0.7182493300953098
10,0;1;4;5,2;3;6;7,2020-01-01 22:00,2024-07-01 19:00,2021-07-02 09:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.6611514844079911,0.5011222774189312,0.1760569338524831,0.15174225145519804,8,0.05555555555555555,-0.36977932400791497,False,False,ma_s5_l50_sl_atr1_5_tp_none,0.6262711334922338
11,0;1;4;6,2;3;5;7,2020-01-01 22:00,2025-04-02 07:00,2021-07-02 09:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.725816177334501,0.41965966611469974,0.2153355953292817,0.11451887531343674,8,0.05555555555555555,-0.5316387141225818,False,False,ma_s5_l50_sl_atr1_5_tp_none,0.9758376612795747
