variant,variant_label,timeframe,period,start,end_exclusive,short_window,long_window,cost_pips,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
baseline_long_short,Baseline long/short,60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,292,-140.10000000002492,35.273972602739725,0.9896170692121258,2067.1000000000026,129.6427184466019,-71.3931216931218,1.8158992823406965,-0.47979452054803057,-30.49999999999875,574.9999999999991,-258.49999999999886,1.5506900851220786,64.03767123287672,8.208519306233711,21.42782254440884,33.1890483180062
baseline_long_short,Baseline long/short,60m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,201,-235.90000000000197,31.343283582089555,0.9761220317023301,1586.6999999999912,153.0714285714287,-71.58985507246382,2.1381720694431996,-1.1736318407960298,-33.30000000000075,574.9999999999991,-258.49999999999886,1.651204944953691,62.0547263681592,5.962565458599045,21.31591227251516,32.37724892414579
baseline_long_short,Baseline long/short,60m,oos_2025,2025-01-01,2026-01-01,20,80,1.0,92,75.4999999999784,43.47826086956522,1.0207748610423142,1014.9000000000057,92.74249999999975,-69.88846153846177,1.3270073193550083,0.8206521739128086,-16.24999999999892,436.70000000000095,-239.70000000000005,1.03448249904354,67.66304347826087,11.771841388791602,19.044666684637644,32.15893468474548
baseline_long_short,Baseline long/short,240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,70,1746.6000000000138,41.42857142857143,1.3038727861094705,2120.199999999997,258.4275862068969,-140.1902439024389,1.8434063527754585,24.951428571428767,-47.50000000000176,1117.5000000000002,-409.19999999999936,1.8926939032840777,69.05714285714286,14.911133646456005,28.014250640478206,38.34729931682318
baseline_long_short,Baseline long/short,240m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,42,2569.300000000011,47.61904761904761,1.7871147601249961,1435.9999999999923,291.67500000000035,-148.37272727272713,1.9658262361374959,61.17380952380979,-13.849999999998829,1117.5000000000002,-409.19999999999936,1.6816972164202908,76.76190476190476,19.1565955258421,19.1565955258421,35.99040027427785
baseline_long_short,Baseline long/short,240m,oos_2025,2025-01-01,2026-01-01,20,80,1.0,29,-807.9999999999992,31.03448275862069,0.6856887229159375,2120.199999999998,195.8555555555557,-128.53500000000003,1.5237527175909726,-27.862068965517214,-75.59999999999809,678.8999999999978,-329.1999999999982,2.0996835187377862,55.48275862068966,38.51477846485489,38.51477846485489,38.51477846485489
long_only,Long only,60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,146,1215.2999999999872,41.78082191780822,1.1814313865997828,1407.5000000000105,129.73278688524587,-78.80470588235308,1.6462568501800252,8.323972602739639,-17.899999999999693,521.1000000000004,-258.49999999999886,1.0472713949999364,71.5958904109589,6.584783350392363,22.08575002843175,31.785384838950243
long_only,Long only,60m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,100,1203.4999999999982,39.0,1.2565988657200113,1099.7000000000046,151.1205128205129,-76.88852459016401,1.9654495079210432,12.034999999999982,-19.549999999999045,521.1000000000004,-258.49999999999886,1.043043294647571,74.77,8.841644467821576,16.29875969255307,26.621646843239414
long_only,Long only,60m,oos_2025,2025-01-01,2026-01-01,20,80,1.0,46,11.799999999988927,47.82608695652174,1.005875908774021,1186.0000000000027,91.81818181818163,-83.6750000000003,1.0973191732080227,0.25652173913019405,-14.250000000000739,436.70000000000095,-239.70000000000005,0.9810010767020321,64.69565217391305,21.61881188118821,32.55445544554465,41.8712871287131
long_only,Long only,240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,35,2164.6000000000067,54.285714285714285,2.12733711785845,505.0,214.98421052631593,-120.0062499999998,1.7914417834597474,61.84571428571448,12.100000000000023,982.0000000000013,-252.30000000000052,1.9781833322342717,85.08571428571429,24.04093323867115,24.04093323867115,42.999485886356375
