timeframe,measure,trade_count,winning_trade_count,selected_trade_count,selected_pnl_pips,share_of_winning_pips_pct,share_of_total_net_pnl_pct,largest_selected_trade_pips,selected_trade_count_if_pct_of_all_trades
60m,top_1_winning_trades,292,103,1,574.9999999999991,4.306083934936939,-410.4211277658079,574.9999999999991,
60m,top_3_winning_trades,292,103,3,1616.1000000000004,12.102716951741911,-1153.5331905779535,574.9999999999991,
60m,top_5_winning_trades,292,103,5,2492.300000000001,18.664439984423222,-1778.9436117056089,574.9999999999991,
60m,top_1pct_winning_trades,292,103,2,1096.0999999999995,8.208519306233711,-782.3697359027869,574.9999999999991,3.0
60m,top_5pct_winning_trades,292,103,6,2861.3,21.42782254440884,-2042.326909350101,574.9999999999991,15.0
60m,top_10pct_winning_trades,292,103,11,4431.800000000003,33.1890483180062,-3163.3119200565416,574.9999999999991,30.0
240m,top_1_winning_trades,70,29,1,1117.5000000000002,14.911133646456005,63.98144967365117,1117.5000000000002,
240m,top_3_winning_trades,70,29,3,2873.9000000000005,38.34729931682318,164.54253979159384,1117.5000000000002,
240m,top_5_winning_trades,70,29,5,4165.5999999999985,55.58283518360366,238.49765258215766,1117.5000000000002,
240m,top_1pct_winning_trades,70,29,1,1117.5000000000002,14.911133646456005,63.98144967365117,1117.5000000000002,1.0
240m,top_5pct_winning_trades,70,29,2,2099.5000000000014,28.014250640478206,120.20496965532949,1117.5000000000002,4.0
240m,top_10pct_winning_trades,70,29,3,2873.9000000000005,38.34729931682318,164.54253979159384,1117.5000000000002,7.0
