timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
60m,full_2023_2025,2023-01-01 22:00:00,2023-01-04 17:00:00,short,130.925,132.003,-107.79999999999745,1.0,-108.79999999999745,67,20,80,0,signal_flip
60m,full_2023_2025,2023-01-04 17:00:00,2023-01-09 07:00:00,long,132.003,131.803,-19.999999999998863,1.0,-20.999999999998863,62,20,80,0,signal_flip
60m,full_2023_2025,2023-01-09 07:00:00,2023-01-11 13:00:00,short,131.803,132.768,-96.50000000000034,1.0,-97.50000000000034,54,20,80,0,signal_flip
60m,full_2023_2025,2023-01-11 13:00:00,2023-01-12 10:00:00,long,132.768,130.957,-181.1000000000007,1.0,-182.1000000000007,21,20,80,0,signal_flip
60m,full_2023_2025,2023-01-12 10:00:00,2023-01-17 20:00:00,short,130.957,128.336,262.0999999999981,1.0,261.0999999999981,82,20,80,0,signal_flip
60m,full_2023_2025,2023-01-17 20:00:00,2023-01-19 06:00:00,long,128.336,127.979,-35.70000000000135,1.0,-36.70000000000135,34,20,80,0,signal_flip
60m,full_2023_2025,2023-01-19 06:00:00,2023-01-20 11:00:00,short,127.979,129.628,-164.89999999999867,1.0,-165.89999999999867,29,20,80,0,signal_flip
60m,full_2023_2025,2023-01-20 11:00:00,2023-01-25 18:00:00,long,129.628,129.613,-1.4999999999986358,1.0,-2.4999999999986358,79,20,80,0,signal_flip
60m,full_2023_2025,2023-01-25 18:00:00,2023-01-27 04:00:00,short,129.613,129.86,-24.70000000000141,1.0,-25.70000000000141,34,20,80,0,signal_flip
60m,full_2023_2025,2023-01-27 04:00:00,2023-01-27 15:00:00,long,129.86,129.882,2.199999999999136,1.0,1.199999999999136,11,20,80,0,signal_flip
60m,full_2023_2025,2023-01-27 15:00:00,2023-01-29 23:00:00,short,129.882,129.803,7.900000000000773,1.0,6.900000000000773,8,20,80,0,signal_flip
60m,full_2023_2025,2023-01-29 23:00:00,2023-01-30 06:00:00,long,129.803,129.636,-16.70000000000016,1.0,-17.70000000000016,7,20,80,0,signal_flip
60m,full_2023_2025,2023-01-30 06:00:00,2023-01-30 09:00:00,short,129.636,130.127,-49.10000000000139,1.0,-50.10000000000139,3,20,80,0,signal_flip
60m,full_2023_2025,2023-01-30 09:00:00,2023-02-01 12:00:00,long,130.127,129.806,-32.099999999999795,1.0,-33.099999999999795,51,20,80,0,signal_flip
60m,full_2023_2025,2023-02-01 12:00:00,2023-02-03 20:00:00,short,129.806,131.057,-125.09999999999764,1.0,-126.09999999999764,56,20,80,0,signal_flip
60m,full_2023_2025,2023-02-03 20:00:00,2023-02-08 08:00:00,long,131.057,130.886,-17.099999999999227,1.0,-18.099999999999227,60,20,80,0,signal_flip
60m,full_2023_2025,2023-02-08 08:00:00,2023-02-10 12:00:00,short,130.886,130.832,5.400000000000205,1.0,4.400000000000205,52,20,80,0,signal_flip
60m,full_2023_2025,2023-02-10 12:00:00,2023-02-13 02:00:00,long,130.832,131.677,84.49999999999989,1.0,83.49999999999989,14,20,80,0,signal_flip
