symbol,shock_side,shock_level,threshold_pct,horizon_bars,horizon_hours,signal_timestamp,exit_timestamp,signal_return_pct,oi_timestamp,open_interest_contracts,open_interest_value_usdt,oi_value_change_4h_pct,oi_value_change_24h_pct,oi_regime,future_return_pct,mr_return_pct
BTCUSDT,lower,5pct,-1.8987744291,1,4,2026-05-13 12:00,2026-05-13 16:00,-2.1193683051,2026-05-13 12:00,104732.6620000000,8427092355.3041229248,-1.3976708098,2.9876555819,price_down_oi_up,1.0207850057,1.0207850057
BTCUSDT,lower,5pct,-1.8987744291,2,8,2026-05-13 12:00,2026-05-13 20:00,-2.1193683051,2026-05-13 12:00,104732.6620000000,8427092355.3041229248,-1.3976708098,2.9876555819,price_down_oi_up,0.6264530346,0.6264530346
BTCUSDT,lower,5pct,-1.8987744291,3,12,2026-05-13 12:00,2026-05-14 00:00,-2.1193683051,2026-05-13 12:00,104732.6620000000,8427092355.3041229248,-1.3976708098,2.9876555819,price_down_oi_up,0.2500097270,0.2500097270
BTCUSDT,lower,5pct,-1.8987744291,6,24,2026-05-13 12:00,2026-05-14 12:00,-2.1193683051,2026-05-13 12:00,104732.6620000000,8427092355.3041229248,-1.3976708098,2.9876555819,price_down_oi_up,3.0887622076,3.0887622076
BTCUSDT,lower,5pct,-1.8987744291,12,48,2026-05-13 12:00,2026-05-15 12:00,-2.1193683051,2026-05-13 12:00,104732.6620000000,8427092355.3041229248,-1.3976708098,2.9876555819,price_down_oi_up,0.4657409975,0.4657409975
BTCUSDT,lower,5pct,-1.8987744291,18,72,2026-05-13 12:00,2026-05-16 12:00,-2.1193683051,2026-05-13 12:00,104732.6620000000,8427092355.3041229248,-1.3976708098,2.9876555819,price_down_oi_up,-0.7687689467,-0.7687689467
BTCUSDT,upper,5pct,1.9012904090,1,4,2026-05-04 00:00,2026-05-04 04:00,2.1838753927,2026-05-04 00:00,103389.5230000000,8119065512.7147006989,-0.3698297860,1.1054028761,price_up_oi_up,-0.6205862283,0.6205862283
BTCUSDT,upper,5pct,1.9012904090,1,4,2026-05-14 12:00,2026-05-14 16:00,2.5370505937,2026-05-14 12:00,104053.2360000000,8242743574.9175996780,-0.4752215909,-2.2118549558,price_up_oi_down,0.1538530002,-0.1538530002
BTCUSDT,upper,5pct,1.9012904090,2,8,2026-05-04 00:00,2026-05-04 08:00,2.1838753927,2026-05-04 00:00,103389.5230000000,8119065512.7147006989,-0.3698297860,1.1054028761,price_up_oi_up,-1.8399026674,1.8399026674
BTCUSDT,upper,5pct,1.9012904090,2,8,2026-05-14 12:00,2026-05-14 20:00,2.5370505937,2026-05-14 12:00,104053.2360000000,8242743574.9175996780,-0.4752215909,-2.2118549558,price_up_oi_down,-0.2828835992,0.2828835992
BTCUSDT,upper,5pct,1.9012904090,3,12,2026-05-04 00:00,2026-05-04 12:00,2.1838753927,2026-05-04 00:00,103389.5230000000,8119065512.7147006989,-0.3698297860,1.1054028761,price_up_oi_up,-0.3316436537,0.3316436537
BTCUSDT,upper,5pct,1.9012904090,3,12,2026-05-14 12:00,2026-05-15 00:00,2.5370505937,2026-05-14 12:00,104053.2360000000,8242743574.9175996780,-0.4752215909,-2.2118549558,price_up_oi_down,-0.2446436123,0.2446436123
BTCUSDT,upper,5pct,1.9012904090,6,24,2026-05-04 00:00,2026-05-05 00:00,2.1838753927,2026-05-04 00:00,103389.5230000000,8119065512.7147006989,-0.3698297860,1.1054028761,price_up_oi_up,0.7477047419,-0.7477047419
BTCUSDT,upper,5pct,1.9012904090,6,24,2026-05-14 12:00,2026-05-15 12:00,2.5370505937,2026-05-14 12:00,104053.2360000000,8242743574.9175996780,-0.4752215909,-2.2118549558,price_up_oi_down,-2.6230212100,2.6230212100
BTCUSDT,upper,5pct,1.9012904090,12,48,2026-05-04 00:00,2026-05-06 00:00,2.1838753927,2026-05-04 00:00,103389.5230000000,8119065512.7147006989,-0.3698297860,1.1054028761,price_up_oi_up,1.5804142041,-1.5804142041
BTCUSDT,upper,5pct,1.9012904090,12,48,2026-05-14 12:00,2026-05-16 12:00,2.5370505937,2026-05-14 12:00,104053.2360000000,8242743574.9175996780,-0.4752215909,-2.2118549558,price_up_oi_down,-3.8575311543,3.8575311543
