candidate,symbol,shock_side,shock_level,direction,threshold_pct,horizon_bars,horizon_hours,count,mr_return_mean_pct,mr_return_median_pct,mr_win_rate_pct,mr_return_t_stat
BTCUSDT lower 5pct long MR,BTCUSDT,lower,5pct,long,-1.8987744291,12,48,636,0.4942992799,0.4808161502,55.6603773585,2.2314651076
BTCUSDT lower 2_5pct long MR,BTCUSDT,lower,2_5pct,long,-2.6062629474,12,48,318,0.7476734760,0.6792485104,57.8616352201,2.2082793227
BTCUSDT lower 1pct long MR,BTCUSDT,lower,1pct,long,-3.8646644461,12,48,128,1.7761544120,2.3889723807,66.4062500000,3.0932164730
BTCUSDT upper 5pct short MR,BTCUSDT,upper,5pct,short,1.9012904090,1,4,636,0.0430988831,0.0723930908,52.8301886792,0.6079818733
BTCUSDT upper 2_5pct short MR,BTCUSDT,upper,2_5pct,short,2.5953806458,1,4,318,-0.0157733737,0.0045281033,50.0000000000,-0.1509130288
BTCUSDT upper 1pct short MR,BTCUSDT,upper,1pct,short,3.7063389285,1,4,128,0.0339392982,0.1209087852,52.3437500000,0.2159719695
ETHUSDT lower 5pct long MR,ETHUSDT,lower,5pct,long,-2.5346979200,6,24,636,0.3453408074,0.5708326743,55.6603773585,1.5062699778
ETHUSDT lower 2_5pct long MR,ETHUSDT,lower,2_5pct,long,-3.5360705099,6,24,318,0.8342828521,0.9502513045,56.9182389937,2.3248337959
ETHUSDT lower 1pct long MR,ETHUSDT,lower,1pct,long,-5.0589073200,6,24,128,1.7484963909,1.3868734741,59.3750000000,2.6598517443
ETHUSDT upper 5pct short MR,ETHUSDT,upper,5pct,short,2.5346196347,1,4,636,0.0176907843,0.1205460752,52.9874213836,0.2029859221
ETHUSDT upper 2_5pct short MR,ETHUSDT,upper,2_5pct,short,3.4259657599,1,4,318,-0.0127120558,0.0153544024,50.6289308176,-0.0941663509
ETHUSDT upper 1pct short MR,ETHUSDT,upper,1pct,short,4.6751322219,1,4,128,-0.1822817377,-0.2235218665,46.8750000000,-0.8290909257
SOLUSDT lower 5pct long MR,SOLUSDT,lower,5pct,long,-3.7212992607,18,72,636,2.5184972485,2.7537711044,61.4779874214,4.3222356341
SOLUSDT lower 2_5pct long MR,SOLUSDT,lower,2_5pct,long,-5.1237741663,18,72,318,3.0113494991,3.3686847504,64.4654088050,3.3929825095
SOLUSDT lower 1pct long MR,SOLUSDT,lower,1pct,long,-7.0432299734,18,72,128,3.5545816208,3.8965222212,64.8437500000,2.2156342956
SOLUSDT upper 5pct short MR,SOLUSDT,upper,5pct,short,3.8325049439,1,4,636,-0.0364097904,0.0439339982,50.7861635220,-0.2205117508
SOLUSDT upper 2_5pct short MR,SOLUSDT,upper,2_5pct,short,5.4293198767,1,4,318,0.0617979868,0.5121343331,53.7735849057,0.2425727568
SOLUSDT upper 1pct short MR,SOLUSDT,upper,1pct,short,7.4638733570,1,4,128,0.3553343729,0.8391867049,57.0312500000,0.9259337945
