candidate,symbol,vol_regime,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_win_rate_pct,mr_return_t_stat
BTCUSDT lower 5pct Q1_low long MR,BTCUSDT,Q1_low,-1.8987744291,1,4,3,0.5993107209,-2.0830601941,0.1017449701,0.0745581328,66.6666666667,0.7619750090
BTCUSDT lower 5pct Q2_lower long MR,BTCUSDT,Q2_lower,-1.8987744291,18,72,32,0.7660491794,-2.2120965007,0.3602314632,2.0314087332,59.3750000000,0.4179717151
BTCUSDT lower 5pct Q3_mid long MR,BTCUSDT,Q3_mid,-1.8987744291,1,4,109,0.9669674384,-2.5209642451,-0.2103019242,-0.1066507994,46.7889908257,-1.5351203983
BTCUSDT lower 5pct Q4_higher long MR,BTCUSDT,Q4_higher,-1.8987744291,18,72,165,1.2745533586,-2.7347074803,0.4035950189,0.5935448638,54.5454545455,0.8502479868
BTCUSDT lower 5pct Q5_high long MR,BTCUSDT,Q5_high,-1.8987744291,12,48,324,2.1914052981,-3.5161093507,1.0494961251,0.9602075635,57.7160493827,2.9837882157
ETHUSDT lower 5pct Q1_low long MR,ETHUSDT,Q1_low,-2.5346979200,6,24,6,0.7512781600,-2.7762314784,0.0991345765,0.2581819071,50.0000000000,0.0635716785
ETHUSDT lower 5pct Q2_lower long MR,ETHUSDT,Q2_lower,-2.5346979200,18,72,39,1.0318240080,-3.1445857305,0.8296104472,0.6163742334,56.4102564103,1.1528608826
ETHUSDT lower 5pct Q3_mid long MR,ETHUSDT,Q3_mid,-2.5346979200,1,4,82,1.3048488052,-3.4928307493,-0.1613595593,0.1125659093,56.0975609756,-1.0945895160
ETHUSDT lower 5pct Q4_higher long MR,ETHUSDT,Q4_higher,-2.5346979200,6,24,168,1.6564087358,-3.6471372818,-0.0567299067,0.2186684934,52.3809523810,-0.1789183732
ETHUSDT lower 5pct Q5_high long MR,ETHUSDT,Q5_high,-2.5346979200,18,72,340,2.9004173849,-4.5869663967,0.9077506241,1.5715450273,58.2352941176,1.6287208245
SOLUSDT lower 5pct Q1_low long MR,SOLUSDT,Q1_low,-3.7212992607,1,4,3,1.1987760876,-4.0465220714,-0.5522502946,-0.0720688288,33.3333333333,-0.7542729778
SOLUSDT lower 5pct Q2_lower long MR,SOLUSDT,Q2_lower,-3.7212992607,6,24,31,1.4638058057,-4.2491692862,1.0372717541,1.9206598994,58.0645161290,1.2090078157
SOLUSDT lower 5pct Q3_mid long MR,SOLUSDT,Q3_mid,-3.7212992607,18,72,96,1.8866704096,-4.8332310047,0.3012502255,1.2338274381,59.3750000000,0.3155765268
SOLUSDT lower 5pct Q4_higher long MR,SOLUSDT,Q4_higher,-3.7212992607,18,72,168,2.4916056871,-5.3956710946,1.0373464171,1.9467076898,57.1428571429,0.9200344259
SOLUSDT lower 5pct Q5_high long MR,SOLUSDT,Q5_high,-3.7212992607,18,72,336,4.7401975959,-6.5704377115,4.3539231462,4.0895446793,66.6666666667,4.9132711097
