symbol,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,Q1_low,upper,5pct,0.0500000000,1.9012904090,1,4,10,0.5963437540,2.1123400240,-0.2901008485,-0.2440032256,0.5809188090,-1.5791870020,0.2901008485,0.2440032256,0.5809188090,1.5791870020,60.0000000000
BTCUSDT,Q1_low,upper,5pct,0.0500000000,1.9012904090,2,8,10,0.5963437540,2.1123400240,-0.1161735677,-0.0185685900,0.7884617279,-0.4659364744,0.1161735677,0.0185685900,0.7884617279,0.4659364744,50.0000000000
BTCUSDT,Q1_low,upper,5pct,0.0500000000,1.9012904090,3,12,10,0.5963437540,2.1123400240,0.5517948337,0.8005740540,1.2127998482,1.4387604668,-0.5517948337,-0.8005740540,1.2127998482,-1.4387604668,40.0000000000
BTCUSDT,Q1_low,upper,5pct,0.0500000000,1.9012904090,6,24,10,0.5963437540,2.1123400240,0.4179710481,0.8689201266,1.4960528226,0.8834851872,-0.4179710481,-0.8689201266,1.4960528226,-0.8834851872,40.0000000000
BTCUSDT,Q1_low,upper,5pct,0.0500000000,1.9012904090,12,48,10,0.5963437540,2.1123400240,1.5888071746,1.4938508753,3.3332755780,1.5073009468,-1.5888071746,-1.4938508753,3.3332755780,-1.5073009468,30.0000000000
BTCUSDT,Q1_low,upper,5pct,0.0500000000,1.9012904090,18,72,10,0.5963437540,2.1123400240,0.7635340556,0.8140234388,3.3497672447,0.7207983452,-0.7635340556,-0.8140234388,3.3497672447,-0.7207983452,40.0000000000
BTCUSDT,Q2_lower,upper,5pct,0.0500000000,1.9012904090,1,4,44,0.7555478077,2.3213345013,0.2084864119,-0.0198440391,1.2318654928,1.1226407528,-0.2084864119,0.0198440391,1.2318654928,-1.1226407528,50.0000000000
BTCUSDT,Q2_lower,upper,5pct,0.0500000000,1.9012904090,2,8,44,0.7555478077,2.3213345013,0.5007858836,0.2167719122,1.5840537054,2.0970486930,-0.5007858836,-0.2167719122,1.5840537054,-2.0970486930,43.1818181818
BTCUSDT,Q2_lower,upper,5pct,0.0500000000,1.9012904090,3,12,44,0.7555478077,2.3213345013,0.5058371346,0.1612985845,1.8181162773,1.8455057045,-0.5058371346,-0.1612985845,1.8181162773,-1.8455057045,45.4545454545
BTCUSDT,Q2_lower,upper,5pct,0.0500000000,1.9012904090,6,24,44,0.7555478077,2.3213345013,0.6607319732,0.1149907822,3.2360013688,1.3543875867,-0.6607319732,-0.1149907822,3.2360013688,-1.3543875867,45.4545454545
BTCUSDT,Q2_lower,upper,5pct,0.0500000000,1.9012904090,12,48,44,0.7555478077,2.3213345013,1.3574398927,1.5510812754,5.0248537929,1.7919402176,-1.3574398927,-1.5510812754,5.0248537929,-1.7919402176,36.3636363636
BTCUSDT,Q2_lower,upper,5pct,0.0500000000,1.9012904090,18,72,44,0.7555478077,2.3213345013,1.5506572943,1.5610084636,6.3151820225,1.6287569876,-1.5506572943,-1.5610084636,6.3151820225,-1.6287569876,34.0909090909
BTCUSDT,Q3_mid,upper,5pct,0.0500000000,1.9012904090,1,4,82,0.9914911593,2.5443949187,0.1373656989,0.1526055777,1.4370961299,0.8655644411,-0.1373656989,-0.1526055777,1.4370961299,-0.8655644411,43.9024390244
BTCUSDT,Q3_mid,upper,5pct,0.0500000000,1.9012904090,2,8,82,0.9914911593,2.5443949187,0.0407633544,0.0910438236,1.8414107633,0.2004592788,-0.0407633544,-0.0910438236,1.8414107633,-0.2004592788,45.1219512195
BTCUSDT,Q3_mid,upper,5pct,0.0500000000,1.9012904090,3,12,82,0.9914911593,2.5443949187,0.1393069779,0.0906406285,2.2735492087,0.5548498062,-0.1393069779,-0.0906406285,2.2735492087,-0.5548498062,47.5609756098
BTCUSDT,Q3_mid,upper,5pct,0.0500000000,1.9012904090,6,24,82,0.9914911593,2.5443949187,-0.1870872598,-0.0805231962,2.8162521473,-0.6015609056,0.1870872598,0.0805231962,2.8162521473,0.6015609056,52.4390243902
BTCUSDT,Q3_mid,upper,5pct,0.0500000000,1.9012904090,12,48,82,0.9914911593,2.5443949187,0.0836570224,0.6523044786,4.9304517253,0.1536464811,-0.0836570224,-0.6523044786,4.9304517253,-0.1536464811,45.1219512195
BTCUSDT,Q3_mid,upper,5pct,0.0500000000,1.9012904090,18,72,82,0.9914911593,2.5443949187,0.1237967041,0.3207185058,4.9021979432,0.2286784106,-0.1237967041,-0.3207185058,4.9021979432,-0.2286784106,48.7804878049
BTCUSDT,Q4_higher,upper,5pct,0.0500000000,1.9012904090,1,4,159,1.2655156145,2.7642915138,-0.0552519686,-0.1334565483,1.4689140731,-0.4742965080,0.0552519686,0.1334565483,1.4689140731,0.4742965080,56.6037735849
