symbol,vol_regime,horizon_bars,horizon_hours,count,vol20_mean_pct,current_abs_return_mean_pct,future_return_mean_pct,future_abs_return_mean_pct,future_return_up_rate_pct
BTCUSDT,Q1_low,1,4,2531,0.5001037704,0.3886802149,0.0154128174,0.4911738389,51.8372184907
BTCUSDT,Q1_low,2,8,2529,0.5000519067,0.3888998667,0.0376522134,0.7501201323,51.7200474496
BTCUSDT,Q1_low,3,12,2527,0.4999927972,0.3890587770,0.0718082564,0.9525447628,52.3545706371
BTCUSDT,Q1_low,6,24,2521,0.4998639247,0.3886106842,0.1724066391,1.4469786749,52.5188417295
BTCUSDT,Q1_low,12,48,2513,0.4997171756,0.3882334482,0.4182167836,2.1817251372,54.2379625945
BTCUSDT,Q1_low,18,72,2507,0.4995485612,0.3881982549,0.6501060537,2.8601740973,55.0458715596
BTCUSDT,Q2_lower,1,4,2533,0.7385532211,0.5370870713,0.0109960942,0.6033899893,51.4804579550
BTCUSDT,Q2_lower,2,8,2533,0.7385532211,0.5370870713,0.0293585938,0.8948048117,50.4540071062
BTCUSDT,Q2_lower,3,12,2533,0.7385532211,0.5370870713,0.0187354885,1.1577337898,50.8487958942
BTCUSDT,Q2_lower,6,24,2533,0.7385532211,0.5370870713,0.0020184898,1.8009216227,50.2566127122
BTCUSDT,Q2_lower,12,48,2529,0.7385807602,0.5375994780,-0.1331871442,2.7358982998,50.0593119810
BTCUSDT,Q2_lower,18,72,2523,0.7386285065,0.5377806049,-0.2102646595,3.3678890769,50.5747126437
BTCUSDT,Q3_mid,1,4,2532,0.9603763354,0.7037804547,-0.0087222868,0.7241316459,51.7377567141
BTCUSDT,Q3_mid,2,8,2532,0.9603763354,0.7037804547,-0.0280479613,1.0292803940,50.7109004739
BTCUSDT,Q3_mid,3,12,2532,0.9603763354,0.7037804547,-0.0188147210,1.2790621146,49.6050552923
BTCUSDT,Q3_mid,6,24,2532,0.9603763354,0.7037804547,-0.0318160978,1.8631741273,51.4218009479
BTCUSDT,Q3_mid,12,48,2532,0.9603763354,0.7037804547,0.0517325651,2.6598476561,52.9225908373
BTCUSDT,Q3_mid,18,72,2532,0.9603763354,0.7037804547,0.1249397126,3.4085918171,53.3175355450
BTCUSDT,Q4_higher,1,4,2533,1.2551617743,0.9070852209,-0.0081704704,0.8859282858,49.9802605606
BTCUSDT,Q4_higher,2,8,2533,1.2551617743,0.9070852209,-0.0142152846,1.2662277764,50.6514015002
BTCUSDT,Q4_higher,3,12,2533,1.2551617743,0.9070852209,-0.0316958230,1.5749115655,50.6119226214
BTCUSDT,Q4_higher,6,24,2533,1.2551617743,0.9070852209,-0.0048529786,2.2611151806,50.6908803790
BTCUSDT,Q4_higher,12,48,2533,1.2551617743,0.9070852209,0.1330546701,3.1451777735,50.4934859850
BTCUSDT,Q4_higher,18,72,2533,1.2551617743,0.9070852209,0.1342004924,3.8746417803,49.9802605606
BTCUSDT,Q5_high,1,4,2533,2.0300223996,1.4494392150,0.0647289958,1.2811335605,52.3095144098
BTCUSDT,Q5_high,2,8,2533,2.0300223996,1.4494392150,0.1236062656,1.7517660627,52.8622187130
BTCUSDT,Q5_high,3,12,2533,2.0300223996,1.4494392150,0.1825822606,2.1364555157,53.9281484406
BTCUSDT,Q5_high,6,24,2533,2.0300223996,1.4494392150,0.3087045718,3.0537371105,53.7702329254
BTCUSDT,Q5_high,12,48,2533,2.0300223996,1.4494392150,0.4299823209,4.1954116658,54.0465850770
BTCUSDT,Q5_high,18,72,2533,2.0300223996,1.4494392150,0.6591161160,5.1321906072,55.1519936834
ETHUSDT,Q1_low,1,4,2532,0.6515314622,0.4976134441,-0.0012863726,0.6538483613,50.9873617694
ETHUSDT,Q1_low,2,8,2531,0.6514773204,0.4977496195,0.0139686654,1.0089511290,49.8617147373
ETHUSDT,Q1_low,3,12,2530,0.6514231316,0.4977147168,0.0252601842,1.2972498934,49.4071146245
ETHUSDT,Q1_low,6,24,2527,0.6513310048,0.4971387229,0.0685954011,1.9583804050,50.5342303126
ETHUSDT,Q1_low,12,48,2522,0.6510660987,0.4969801420,0.2674977137,2.8093352842,52.4583663759
ETHUSDT,Q1_low,18,72,2518,0.6509213165,0.4972543419,0.6037530801,3.6356410344,53.0976965846
ETHUSDT,Q2_lower,1,4,2532,1.0111487305,0.7598316484,0.0150767297,0.8331680124,51.6587677725
ETHUSDT,Q2_lower,2,8,2531,1.0111939815,0.7601291021,0.0250020774,1.2090396787,50.9284867641
ETHUSDT,Q2_lower,3,12,2530,1.0112335622,0.7603607541,0.0229172682,1.5301975536,50.8300395257
ETHUSDT,Q2_lower,6,24,2527,1.0113516003,0.7604979271,0.0593109268,2.3014665210,51.4444004749
ETHUSDT,Q2_lower,12,48,2520,1.0115321182,0.7604121138,0.1826610794,3.5339559230,51.2698412698
ETHUSDT,Q2_lower,18,72,2512,1.0116338166,0.7610692340,0.1145852497,4.5221945852,53.1449044586
ETHUSDT,Q3_mid,1,4,2532,1.2931277154,0.9297714476,-0.0442849846,0.9289135090,48.6176935229
ETHUSDT,Q3_mid,2,8,2532,1.2931277154,0.9297714476,-0.0819818543,1.3654696530,48.8151658768
ETHUSDT,Q3_mid,3,12,2532,1.2931277154,0.9297714476,-0.1115039902,1.7046650145,48.6176935229
ETHUSDT,Q3_mid,6,24,2532,1.2931277154,0.9297714476,-0.1654805906,2.5671628929,49.5260663507
ETHUSDT,Q3_mid,12,48,2532,1.2931277154,0.9297714476,-0.3133696284,3.8781797810,49.0916271722
ETHUSDT,Q3_mid,18,72,2532,1.2931277154,0.9297714476,-0.3943733077,5.0320273239,49.8815165877
ETHUSDT,Q4_higher,1,4,2533,1.6438803580,1.2021209713,0.0387942156,1.1812330067,52.6253454402
ETHUSDT,Q4_higher,2,8,2533,1.6438803580,1.2021209713,0.0603559937,1.6832388036,52.9016975918
ETHUSDT,Q4_higher,3,12,2533,1.6438803580,1.2021209713,0.0920098986,2.1006558024,52.2305566522
ETHUSDT,Q4_higher,6,24,2533,1.6438803580,1.2021209713,0.1387060275,3.0368731785,52.6648243190
ETHUSDT,Q4_higher,12,48,2533,1.6438803580,1.2021209713,0.1129918308,4.2603013027,50.8487958942
ETHUSDT,Q4_higher,18,72,2533,1.6438803580,1.2021209713,0.0172246685,5.2672582202,50.7698381366
ETHUSDT,Q5_high,1,4,2533,2.6524791845,1.9597904037,0.0537971325,1.7505786540,52.3489932886
ETHUSDT,Q5_high,2,8,2533,2.6524791845,1.9597904037,0.1066821235,2.4156306809,53.0990919858
ETHUSDT,Q5_high,3,12,2533,2.6524791845,1.9597904037,0.1573579152,2.9605650787,53.2964863798
ETHUSDT,Q5_high,6,24,2533,2.6524791845,1.9597904037,0.2742135208,4.1420539002,54.7572048954
ETHUSDT,Q5_high,12,48,2533,2.6524791845,1.9597904037,0.5151490958,5.4674513132,55.1914725622
ETHUSDT,Q5_high,18,72,2533,2.6524791845,1.9597904037,0.8179517471,6.5785786999,56.4153178050
SOLUSDT,Q1_low,1,4,2531,1.0073960536,0.7900434087,-0.0133962401,0.9568790938,49.9802449625
SOLUSDT,Q1_low,2,8,2529,1.0073589555,0.7902607533,-0.0003946521,1.4002044980,50.0593119810
SOLUSDT,Q1_low,3,12,2527,1.0073113312,0.7904131796,0.0189344354,1.7563980636,49.1491887614
SOLUSDT,Q1_low,6,24,2521,1.0072013596,0.7898934058,0.0824157271,2.6317670254,48.9884966283
SOLUSDT,Q1_low,12,48,2515,1.0076308855,0.7895497131,0.2240379340,3.9823703608,49.7017892644
SOLUSDT,Q1_low,18,72,2509,1.0081589533,0.7905177790,0.3375110015,5.1934126706,51.8533280191
SOLUSDT,Q2_lower,1,4,2533,1.4313846069,1.0996126626,-0.0408335261,1.1778061744,48.9538097118
SOLUSDT,Q2_lower,2,8,2533,1.4313846069,1.0996126626,-0.1021795453,1.7689066963,48.6379786814
SOLUSDT,Q2_lower,3,12,2533,1.4313846069,1.0996126626,-0.1595501170,2.2348062996,46.9009080142
SOLUSDT,Q2_lower,6,24,2533,1.4313846069,1.0996126626,-0.2746712623,3.3059861399,46.8614291354
SOLUSDT,Q2_lower,12,48,2531,1.4314614729,1.1004166279,-0.4871187305,4.7431368772,45.6736467799
SOLUSDT,Q2_lower,18,72,2531,1.4314614729,1.1004166279,-0.6513842876,5.9324261432,45.3970762544
SOLUSDT,Q3_mid,1,4,2532,1.8610138156,1.4340993261,-0.0011026978,1.4928670267,49.6445497630
SOLUSDT,Q3_mid,2,8,2532,1.8610138156,1.4340993261,0.0317183558,2.1237112158,51.1848341232
SOLUSDT,Q3_mid,3,12,2532,1.8610138156,1.4340993261,0.0203833906,2.6581206518,49.2496050553
SOLUSDT,Q3_mid,6,24,2532,1.8610138156,1.4340993261,-0.0213912482,3.8856920941,48.8546603476
SOLUSDT,Q3_mid,12,48,2528,1.8607316387,1.4355302747,-0.0559464373,5.5573945991,48.1012658228
SOLUSDT,Q3_mid,18,72,2522,1.8601983146,1.4363156129,-0.2182349697,6.8115444576,48.6122125297
SOLUSDT,Q4_higher,1,4,2533,2.4477567474,1.8857081435,0.0447301968,1.7989418315,49.9013028030
SOLUSDT,Q4_higher,2,8,2533,2.4477567474,1.8857081435,0.0620810933,2.5431002038,48.5984998026
SOLUSDT,Q4_higher,3,12,2533,2.4477567474,1.8857081435,0.1026184818,3.1069811713,48.9932885906
SOLUSDT,Q4_higher,6,24,2533,2.4477567474,1.8857081435,0.2529819977,4.4491582163,48.9143308330
SOLUSDT,Q4_higher,12,48,2533,2.4477567474,1.8857081435,0.3936664654,6.4437446751,49.9407816818
SOLUSDT,Q4_higher,18,72,2533,2.4477567474,1.8857081435,0.5157483627,8.1999801139,50.2566127122
SOLUSDT,Q5_high,1,4,2533,4.1795467045,3.1126279439,0.1391810901,2.8919785604,49.9802605606
SOLUSDT,Q5_high,2,8,2533,4.1795467045,3.1126279439,0.2678309005,3.9183455391,50.0986971970
SOLUSDT,Q5_high,3,12,2533,4.1795467045,3.1126279439,0.4066200004,4.8091726596,50.6908803790
SOLUSDT,Q5_high,6,24,2533,4.1795467045,3.1126279439,0.7416008084,6.7018187147,52.9016975918
SOLUSDT,Q5_high,12,48,2533,4.1795467045,3.1126279439,1.5087418342,8.6984431837,54.0465850770
SOLUSDT,Q5_high,18,72,2533,4.1795467045,3.1126279439,2.3997662744,10.4533814338,54.8756415318
