annual_candidate_id,candidate_id,candidate_label,event_set,source_phase,entry_model,symbol,shock_side,shock_level,direction,vol_regime_filter,threshold_pct,horizon_bars,horizon_hours,is_nonoverlap,year,is_partial_year,event_count,total_event_count,annual_event_share_pct,mean_return_pct,median_return_pct,return_std_pct,return_t_stat,win_rate_pct,profit_factor,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,final_cumulative_log_return_pct,final_cumulative_return_pct,max_drawdown_pct,annual_status
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2020,True,33,633,5.2132701422,2.2953772049,1.8296781729,4.8127288723,2.7398049009,72.7272727273,3.8448963536,,,,,75.7474477612,113.2882769538,-12.6103677860,OK
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2021,False,227,633,35.8609794629,0.8784577268,0.4224881092,6.3903174603,2.0711490886,52.8634361233,1.4208060367,,,,,199.4099039823,634.5581968853,-69.6790277999,OK
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2022,False,149,633,23.5387045814,-1.0017184844,0.0736037911,6.3983419690,-1.9110470260,50.3355704698,0.6369674373,,,,,-149.2560541789,-77.5203682380,-86.9072692392,OK
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2023,False,39,633,6.1611374408,0.8981951212,0.6089181650,3.2908736366,1.7044795254,66.6666666667,2.2586750507,,,,,35.0296097285,41.9487792856,-9.0895680543,OK
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2024,False,95,633,15.0078988942,0.8820223117,0.5960072283,3.7875297032,2.2697881611,55.7894736842,1.8073896671,,,,,83.7921196152,131.1556705733,-25.4380196976,OK
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2025,False,62,633,9.7946287520,0.8824224651,0.7474114030,3.7639225933,1.8460000880,58.0645161290,1.8005405817,,,,,54.7101928384,72.8237198106,-25.1559284199,OK
phase2_close:BTCUSDT_lower5_all_close_h48_long,BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,lower,5pct,long,all,-1.8987744291,12,48,False,2026,True,28,633,4.4233807267,0.7243602090,0.6875471680,4.8474978503,0.7907077143,67.8571428571,1.4940823747,,,,,20.2820858514,22.4853026601,-28.4268262885,OK
phase2_close:BTCUSDT_upper5_all_close_h4_short,BTCUSDT_upper5_all_close_h4_short,P2 BTC upper5 all close 4H short,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,upper,5pct,short,all,1.9012904090,1,4,False,2020,True,54,635,8.5039370079,0.0354865564,0.0877174342,1.2374089060,0.2107402545,53.7037037037,1.0892890101,,,,,1.9162740459,1.9347524203,-10.1389806327,OK
phase2_close:BTCUSDT_upper5_all_close_h4_short,BTCUSDT_upper5_all_close_h4_short,P2 BTC upper5 all close 4H short,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,upper,5pct,short,all,1.9012904090,1,4,False,2021,False,255,635,40.1574803150,0.0483692463,0.1127118676,2.1879148500,0.3530278717,53.3333333333,1.0685363368,,,,,12.3341578077,13.1270772255,-20.6858821325,OK
phase2_close:BTCUSDT_upper5_all_close_h4_short,BTCUSDT_upper5_all_close_h4_short,P2 BTC upper5 all close 4H short,phase2_close,phase2_best_5pct,close_to_close,BTCUSDT,upper,5pct,short,all,1.9012904090,1,4,False,2022,False,112,635,17.6377952756,0.2997793100,0.1841902013,1.5292778722,2.0745517003,57.1428571429,1.7163491455,,,,,33.5752827233,39.8993189055,-11.4115285507,OK
