annual_candidate_id,candidate_label,event_set,entry_model,symbol,shock_side,shock_level,direction,vol_regime_filter,horizon_hours,years_with_events,ok_years,low_count_years,total_event_count,max_annual_event_share_pct,positive_year_count,positive_year_rate_pct,mean_of_annual_means_pct,median_of_annual_means_pct,min_annual_mean_pct,max_annual_mean_pct,worst_annual_drawdown_pct,stability_label
phase2_close:BTCUSDT_lower5_all_close_h48_long,P2 BTC lower5 all close 48H long,phase2_close,close_to_close,BTCUSDT,lower,5pct,long,all,48,7,7,0,633,35.8609794629,6,85.7142857143,0.7941595078,0.8820223117,-1.0017184844,2.2953772049,-86.9072692392,broad_positive
phase2_close:BTCUSDT_upper5_all_close_h4_short,P2 BTC upper5 all close 4H short,phase2_close,close_to_close,BTCUSDT,upper,5pct,short,all,4,7,7,0,635,40.1574803150,5,71.4285714286,-0.0617880504,0.0483692463,-0.6437852432,0.2997793100,-22.0694063489,mixed_or_sparse
phase2_close:ETHUSDT_lower5_all_close_h24_long,P2 ETH lower5 all close 24H long,phase2_close,close_to_close,ETHUSDT,lower,5pct,long,all,24,7,7,0,635,33.3858267717,5,71.4285714286,0.3321602027,0.5722286592,-0.7612319089,0.9231121643,-80.3979786459,broad_positive
phase2_close:ETHUSDT_upper5_all_close_h4_short,P2 ETH upper5 all close 4H short,phase2_close,close_to_close,ETHUSDT,upper,5pct,short,all,4,7,7,0,635,40.1574803150,3,42.8571428571,-0.0415661969,-0.0239754044,-0.3132440040,0.2914131090,-30.2563751950,mixed_or_sparse
phase2_close:SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,close_to_close,SOLUSDT,lower,5pct,long,all,72,7,6,1,634,31.0725552050,6,85.7142857143,1.9727191606,1.1420767206,-1.6510425906,6.6470561882,-98.5789938245,broad_positive
phase2_close:SOLUSDT_upper5_all_close_h4_short,P2 SOL upper5 all close 4H short,phase2_close,close_to_close,SOLUSDT,upper,5pct,short,all,4,7,6,1,631,43.4231378764,3,42.8571428571,-0.0861183714,-0.1167557531,-1.1363740567,0.4522471892,-51.0679032100,mixed_or_sparse
phase3_q5_close:BTCUSDT_lower5_Q5_close_h48_long,P3 BTC lower5 Q5 close 48H long,phase3_q5_close,close_to_close,BTCUSDT,lower,5pct,long,Q5_high,48,7,5,2,324,54.0123456790,6,85.7142857143,1.7781302415,1.9706781225,-0.4906015585,3.3248134061,-67.3042128849,broad_positive
phase3_q5_close:ETHUSDT_lower5_Q5_close_h72_long,P3 ETH lower5 Q5 close 72H long,phase3_q5_close,close_to_close,ETHUSDT,lower,5pct,long,Q5_high,72,7,5,2,340,48.8235294118,4,57.1428571429,1.2165067045,1.5045814910,-1.2356053156,3.9904254229,-96.6484129213,positive_but_uneven
phase3_q5_close:SOLUSDT_lower5_Q5_close_h72_long,P3 SOL lower5 Q5 close 72H long,phase3_q5_close,close_to_close,SOLUSDT,lower,5pct,long,Q5_high,72,6,6,0,336,44.9404761905,5,83.3333333333,3.9469362537,3.4417114575,-0.7127430176,9.0017486883,-94.1996265319,broad_positive
phase4_next_open_all_signals:BTCUSDT_lower5_Q5_high_h48,P4 all-signal BTC Q5 48H,phase4_next_open_all_signals,next_open_all_signals,BTCUSDT,lower,5pct,long,Q5_high,48,7,5,2,324,54.0123456790,6,85.7142857143,1.7677469055,1.9520414311,-0.4903662098,3.3627076026,-67.2313911631,broad_positive
phase4_next_open_all_signals:BTCUSDT_lower5_all_h48,P4 all-signal BTC all 48H,phase4_next_open_all_signals,next_open_all_signals,BTCUSDT,lower,5pct,long,all,48,7,7,0,636,35.6918238994,6,85.7142857143,0.7610827787,0.8797628481,-1.0013547480,2.2330378614,-86.8997143587,broad_positive
phase4_next_open_all_signals:ETHUSDT_lower5_Q5_high_h72,P4 all-signal ETH Q5 72H,phase4_next_open_all_signals,next_open_all_signals,ETHUSDT,lower,5pct,long,Q5_high,72,7,5,2,340,48.8235294118,4,57.1428571429,1.2250813321,1.5041516386,-1.2296588348,4.0287063267,-96.6375268672,positive_but_uneven
phase4_next_open_all_signals:ETHUSDT_lower5_all_h24,P4 all-signal ETH all 24H,phase4_next_open_all_signals,next_open_all_signals,ETHUSDT,lower,5pct,long,all,24,7,7,0,636,33.3333333333,5,71.4285714286,0.3206856776,0.6211063487,-0.7379063654,0.9292419125,-80.3834708325,broad_positive
phase4_next_open_all_signals:SOLUSDT_lower5_Q5_high_h72,P4 all-signal SOL Q5 72H,phase4_next_open_all_signals,next_open_all_signals,SOLUSDT,lower,5pct,long,Q5_high,72,6,6,0,336,44.9404761905,5,83.3333333333,3.9332667562,3.4178342271,-0.7193899349,8.9812694507,-94.2201631228,broad_positive
phase4_next_open_all_signals:SOLUSDT_lower5_all_h72,P4 all-signal SOL all 72H,phase4_next_open_all_signals,next_open_all_signals,SOLUSDT,lower,5pct,long,all,72,7,6,1,636,30.9748427673,6,85.7142857143,1.9550720508,1.0805195183,-1.6593278393,6.6438642812,-98.5824520929,broad_positive
phase4_next_open_nonoverlap:BTCUSDT_lower5_Q5_high_h48,P4 nonoverlap BTC Q5 48H,phase4_next_open_nonoverlap,next_open_nonoverlap,BTCUSDT,lower,5pct,long,Q5_high,48,7,3,4,149,46.3087248322,5,71.4285714286,0.8896731057,0.8269380242,-3.1825103834,3.4936026508,-39.2781303870,positive_but_uneven
phase4_next_open_nonoverlap:BTCUSDT_lower5_all_h48,P4 nonoverlap BTC all 48H,phase4_next_open_nonoverlap,next_open_nonoverlap,BTCUSDT,lower,5pct,long,all,48,7,7,0,337,28.7833827893,6,85.7142857143,0.4681783119,0.4488240129,-0.6912568644,1.7578434722,-46.4497425913,broad_positive
phase4_next_open_nonoverlap:ETHUSDT_lower5_Q5_high_h72,P4 nonoverlap ETH Q5 72H,phase4_next_open_nonoverlap,next_open_nonoverlap,ETHUSDT,lower,5pct,long,Q5_high,72,7,3,4,120,40.8333333333,3,42.8571428571,-0.1621438480,-0.0968398638,-6.2950335400,5.2266798347,-54.6515594534,mixed_or_sparse
