symbol,current_direction,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,continuation_rate_pct
BTCUSDT,up_bar,1,4,6536,0.7879193938,-0.0032758500,-0.0361143336,1.2314803077,-0.2150564900,47.5673194614
BTCUSDT,up_bar,2,8,6536,0.7879193938,0.0285712120,-0.0249474923,1.6990888641,1.3594667575,48.8066095471
BTCUSDT,up_bar,3,12,6534,0.7881029881,0.0560814257,-0.0098005351,2.0720442805,2.1878098754,49.5867768595
BTCUSDT,up_bar,6,24,6532,0.7881943876,0.0801950398,0.0106935960,3.0403165091,2.1318262113,50.3368034293
BTCUSDT,up_bar,12,48,6526,0.7887709388,0.2162689598,0.0990536385,4.2011786539,4.1585945114,51.5170088875
BTCUSDT,up_bar,18,72,6522,0.7890231372,0.2978248957,0.2116361564,5.1535141452,4.6671087769,52.5758969641
BTCUSDT,down_bar,1,4,6162,-0.8060971965,0.0334532173,0.0846279754,1.2567971400,2.0894575601,44.3687114573
BTCUSDT,down_bar,2,8,6160,-0.8063229000,0.0299471598,0.0856874399,1.7722874824,1.3262085559,46.1363636364
BTCUSDT,down_bar,3,12,6160,-0.8063229000,0.0308590769,0.0923712845,2.1873254038,1.1072862047,46.5746753247
BTCUSDT,down_bar,6,24,6156,-0.8064431861,0.0968370904,0.1322110562,3.0484597603,2.4923588421,46.7673814165
BTCUSDT,down_bar,12,48,6150,-0.8065888611,0.1363589628,0.2033697579,4.2487369683,2.5168735785,46.7804878049
BTCUSDT,down_bar,18,72,6142,-0.8070409472,0.2362761743,0.2633841068,5.2374982246,3.5355008631,46.9391077825
ETHUSDT,up_bar,1,4,6511,1.0556266306,0.0045607374,-0.0389650878,1.5792417704,0.2330291734,48.2260789433
ETHUSDT,up_bar,2,8,6511,1.0556266306,0.0346763219,-0.0037612225,2.2106687667,1.2657070483,49.8387344494
ETHUSDT,up_bar,3,12,6509,1.0558342124,0.0591407556,0.0025835740,2.7270796053,1.7496298891,50.0998617299
ETHUSDT,up_bar,6,24,6508,1.0557991249,0.0504538465,0.0378739154,3.9837078312,1.0217168942,50.7068223725
ETHUSDT,up_bar,12,48,6503,1.0562129953,0.2043148181,0.0996357725,5.5894598275,2.9477245820,51.4377979394
ETHUSDT,up_bar,18,72,6498,1.0565566032,0.2717484986,0.2767567900,6.9058946676,3.1720283254,52.4315173900
ETHUSDT,down_bar,1,4,6185,-1.0850376796,0.0213458545,0.0968762858,1.7056569106,0.9842189402,45.5618431690
ETHUSDT,down_bar,2,8,6183,-1.0853627881,0.0167201979,0.0784720540,2.3879589336,0.5505720769,47.4850396248
ETHUSDT,down_bar,3,12,6183,-1.0853627881,0.0176649239,0.0748689828,2.9350234267,0.4732600237,48.2451884199
ETHUSDT,down_bar,6,24,6178,-1.0856586558,0.1085297713,0.1810775156,4.0930834865,2.0841176761,46.9893169310
ETHUSDT,down_bar,12,48,6171,-1.0859441585,0.1058820695,0.1748153454,5.7121984335,1.4561191328,47.8528601523
ETHUSDT,down_bar,18,72,6164,-1.0867423113,0.1927243460,0.3259545844,7.0751076596,2.1386260021,47.1284879948
SOLUSDT,up_bar,1,4,6310,1.7033458552,-0.0071674372,-0.0507920415,2.4901332203,-0.2286419916,47.8922345483
SOLUSDT,up_bar,2,8,6310,1.7033458552,0.0193431919,-0.0180118401,3.5093376224,0.4378422505,49.3026941363
SOLUSDT,up_bar,3,12,6308,1.7036964182,0.0509351438,-0.0863637446,4.2519561340,0.9514250973,48.2561826252
SOLUSDT,up_bar,6,24,6307,1.7037549176,0.0992191513,-0.1752848827,6.0557113117,1.3011931247,48.1211352466
SOLUSDT,up_bar,12,48,6301,1.7051291022,0.2682385575,-0.1169590777,8.3297632161,2.5561909243,49.1033169338
SOLUSDT,up_bar,18,72,6295,1.7059636888,0.4634597607,-0.0910746875,10.0318969748,3.6654460937,49.4042891183
SOLUSDT,down_bar,1,4,6261,-1.6635134800,0.0649849937,0.0597947066,2.5559760369,2.0117692022,47.5163711867
SOLUSDT,down_bar,2,8,6259,-1.6638804083,0.0947233264,0.0231830301,3.4845934949,2.1505883802,48.9215529637
SOLUSDT,down_bar,3,12,6259,-1.6638804083,0.1132830074,0.0000000000,4.3126687639,2.0781224898,49.5446556958
SOLUSDT,down_bar,6,24,6254,-1.6644562500,0.2164830259,0.0682667671,6.1125159923,2.8008043982,49.2005116725
SOLUSDT,down_bar,12,48,6248,-1.6650425871,0.3384532097,0.0000000000,8.4520132906,3.1652569877,49.8079385403
SOLUSDT,down_bar,18,72,6242,-1.6660080353,0.4310601240,0.1353007161,10.5458895867,3.2293603714,49.0387696251
