symbol,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,upper,5pct,0.0500000000,1.9012904090,1,4,636,2.9987411590,-0.0430988831,-0.0723930908,1.7877382912,-0.6079818733,0.0430988831,0.0723930908,1.7877382912,0.6079818733,52.8301886792
BTCUSDT,upper,5pct,0.0500000000,1.9012904090,2,8,636,2.9987411590,0.0608706745,0.0578973030,2.3234704741,0.6606927084,-0.0608706745,-0.0578973030,2.3234704741,-0.6606927084,48.2704402516
BTCUSDT,upper,5pct,0.0500000000,1.9012904090,3,12,636,2.9987411590,0.1858089022,0.0656655270,2.8007274590,1.6731089636,-0.1858089022,-0.0656655270,2.8007274590,-1.6731089636,49.0566037736
BTCUSDT,upper,5pct,0.0500000000,1.9012904090,6,24,636,2.9987411590,0.1105890882,0.0565837779,3.9610566675,0.7040925995,-0.1105890882,-0.0565837779,3.9610566675,-0.7040925995,49.0566037736
BTCUSDT,upper,5pct,0.0500000000,1.9012904090,12,48,636,2.9987411590,0.1544441030,0.2970583358,5.2956688351,0.7354938911,-0.1544441030,-0.2970583358,5.2956688351,-0.7354938911,47.9559748428
BTCUSDT,upper,5pct,0.0500000000,1.9012904090,18,72,636,2.9987411590,0.4229942547,0.5967581268,6.2608562839,1.7038418911,-0.4229942547,-0.5967581268,6.2608562839,-1.7038418911,45.9119496855
BTCUSDT,lower,5pct,0.0500000000,-1.8987744291,1,4,636,-3.0645041099,0.0914174937,0.1741612827,2.0489652275,1.1251833068,0.0914174937,0.1741612827,2.0489652275,1.1251833068,54.4025157233
BTCUSDT,lower,5pct,0.0500000000,-1.8987744291,2,8,636,-3.0645041099,0.0275108223,0.1657736506,2.7889717649,0.2487642749,0.0275108223,0.1657736506,2.7889717649,0.2487642749,53.1446540881
BTCUSDT,lower,5pct,0.0500000000,-1.8987744291,3,12,636,-3.0645041099,-0.1274131202,0.0381903005,3.2929826827,-0.9757830324,-0.1274131202,0.0381903005,3.2929826827,-0.9757830324,51.4150943396
BTCUSDT,lower,5pct,0.0500000000,-1.8987744291,6,24,636,-3.0645041099,0.3232952121,0.3925963235,4.3784192356,1.8621321041,0.3232952121,0.3925963235,4.3784192356,1.8621321041,55.3459119497
BTCUSDT,lower,5pct,0.0500000000,-1.8987744291,12,48,636,-3.0645041099,0.4942992799,0.4808161502,5.5863537725,2.2314651076,0.4942992799,0.4808161502,5.5863537725,2.2314651076,55.6603773585
BTCUSDT,lower,5pct,0.0500000000,-1.8987744291,18,72,636,-3.0645041099,0.4620830695,0.7720543738,6.5114042612,1.7896741077,0.4620830695,0.7720543738,6.5114042612,1.7896741077,56.9182389937
BTCUSDT,upper,2_5pct,0.0250000000,2.5953806458,1,4,318,3.8081039704,0.0157733737,-0.0045281033,1.8638519709,0.1509130288,-0.0157733737,0.0045281033,1.8638519709,-0.1509130288,50.0000000000
BTCUSDT,upper,2_5pct,0.0250000000,2.5953806458,2,8,318,3.8081039704,0.1475313841,0.1208405162,2.5581364209,1.0284289086,-0.1475313841,-0.1208405162,2.5581364209,-1.0284289086,46.2264150943
BTCUSDT,upper,2_5pct,0.0250000000,2.5953806458,3,12,318,3.8081039704,0.2843818721,0.1021656301,3.0131886851,1.6830194728,-0.2843818721,-0.1021656301,3.0131886851,-1.6830194728,47.7987421384
BTCUSDT,upper,2_5pct,0.0250000000,2.5953806458,6,24,318,3.8081039704,0.0978592133,0.0826779326,4.2734507602,0.4083537758,-0.0978592133,-0.0826779326,4.2734507602,-0.4083537758,48.7421383648
BTCUSDT,upper,2_5pct,0.0250000000,2.5953806458,12,48,318,3.8081039704,0.1484184221,0.1595534210,5.4151333948,0.4887561225,-0.1484184221,-0.1595534210,5.4151333948,-0.4887561225,49.3710691824
