symbol,shock_side,shock_level,threshold_pct,horizon_bars,horizon_hours,signal_timestamp,exit_timestamp,signal_return_pct,funding_timestamp,funding_rate_pct,funding_rate_24h_sum_pct,funding_regime,funding_q20_pct,funding_q80_pct,holding_funding_sum_pct,gross_mr_return_pct,funding_adjusted_mr_return_pct
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-08-11 12:00,2020-08-11 16:00,-2.2452667336,2020-08-11 08:00,0.0227360000,0.0361080000,funding_high,0.0014396000,0.0100000000,0.0598160000,-0.8198459064,-0.8796619064
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-08-18 12:00,2020-08-18 16:00,-1.9583415028,2020-08-18 08:00,0.0782060000,0.2838710000,funding_high,0.0014396000,0.0100000000,0.1001560000,0.3979699529,0.2978139529
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-02 08:00,2020-09-02 12:00,-2.7397789417,2020-09-02 08:00,0.0350740000,0.1148290000,funding_high,0.0014396000,0.0100000000,0.0000000000,-0.6716337794,-0.6716337794
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-03 12:00,2020-09-03 16:00,-4.9167286704,2020-09-03 08:00,0.0168280000,0.0832600000,funding_high,0.0014396000,0.0100000000,0.0247090000,0.1162367708,0.0915277708
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-03 20:00,2020-09-04 00:00,-5.2052853397,2020-09-03 16:00,0.0247090000,0.0629310000,funding_high,0.0014396000,0.0100000000,0.0100000000,1.2209144287,1.2109144287
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-05 16:00,2020-09-05 20:00,-3.1364051358,2020-09-05 16:00,0.0100000000,0.0300000000,funding_high,0.0014396000,0.0100000000,0.0000000000,2.0875016033,2.0875016033
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-08 08:00,2020-09-08 12:00,-2.7808695428,2020-09-08 08:00,0.0100000000,0.0300000000,funding_high,0.0014396000,0.0100000000,0.0000000000,1.1512175253,1.1512175253
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-13 08:00,2020-09-13 12:00,-2.0835404906,2020-09-13 08:00,0.0100000000,0.0300000000,funding_high,0.0014396000,0.0100000000,0.0000000000,-0.4343606426,-0.4343606426
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-21 08:00,2020-09-21 12:00,-2.4710796525,2020-09-21 08:00,-0.0120710000,-0.0262020000,funding_low_or_negative,0.0014396000,0.0100000000,0.0000000000,-2.0680634625,-2.0680634625
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-09-21 12:00,2020-09-21 16:00,-2.0680634625,2020-09-21 08:00,-0.0120710000,-0.0262020000,funding_low_or_negative,0.0014396000,0.0100000000,0.0100000000,0.7629125065,0.7529125065
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-10-25 04:00,2020-10-25 08:00,-2.0383082291,2020-10-25 00:00,0.0100000000,0.0300000000,funding_high,0.0014396000,0.0100000000,0.0100000000,-0.5813179864,-0.5913179864
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-10-28 08:00,2020-10-28 12:00,-2.5650433257,2020-10-28 08:00,0.0100000000,0.0237250000,funding_high,0.0014396000,0.0100000000,0.0000000000,-0.7315141859,-0.7315141859
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-11-02 08:00,2020-11-02 12:00,-2.4965956308,2020-11-02 08:00,-0.0032750000,-0.0004370000,funding_low_or_negative,0.0014396000,0.0100000000,0.0000000000,0.7198228335,0.7198228335
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-11-04 04:00,2020-11-04 08:00,-2.1606071700,2020-11-04 00:00,-0.0078160000,-0.0168640000,funding_low_or_negative,0.0014396000,0.0100000000,-0.0026480000,0.8823161430,0.8849641430
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-11-07 16:00,2020-11-07 20:00,-4.6329624755,2020-11-07 16:00,0.0358900000,0.0987520000,funding_high,0.0014396000,0.0100000000,0.0000000000,1.1864986645,1.1864986645
BTCUSDT,lower,5pct,-1.8987744291,1,4,2020-11-09 12:00,2020-11-09 16:00,-5.2046995362,2020-11-09 08:00,0.0100000000,0.0300000000,funding_high,0.0014396000,0.0100000000,0.0100000000,2.3652528665,2.3552528665
