symbol,funding_regime,shock_side,shock_level,threshold_pct,funding_q20_pct,funding_q80_pct,horizon_bars,horizon_hours,count,signal_return_mean_pct,funding_rate_mean_pct,funding_rate_24h_sum_mean_pct,holding_funding_sum_mean_pct,gross_mr_return_mean_pct,gross_mr_return_median_pct,gross_mr_win_rate_pct,gross_mr_return_t_stat,funding_adjusted_mr_return_mean_pct,funding_adjusted_mr_return_median_pct,funding_adjusted_mr_win_rate_pct,funding_adjusted_mr_return_t_stat
BTCUSDT,funding_low_or_negative,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,1,4,112,-3.1010658607,-0.0061223482,-0.0071784732,-0.0010201250,0.0795462062,0.1344722080,54.4642857143,0.4227467876,0.0805663312,0.1341412080,54.4642857143,0.4277705544
BTCUSDT,funding_low_or_negative,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,2,8,112,-3.1010658607,-0.0061223482,-0.0071784732,-0.0025732321,0.3724378848,0.4175580045,59.8214285714,1.3778839413,0.3750111169,0.4298345045,59.8214285714,1.3866999879
BTCUSDT,funding_low_or_negative,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,3,12,112,-3.1010658607,-0.0061223482,-0.0071784732,-0.0049830893,0.2642297083,0.3627300123,57.1428571429,0.8213326930,0.2692127976,0.3611810123,57.1428571429,0.8359886671
BTCUSDT,funding_low_or_negative,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,6,24,112,-3.1010658607,-0.0061223482,-0.0071784732,-0.0077704107,1.3283048696,1.0781766140,64.2857142857,3.1222594471,1.3360752803,1.0829305617,64.2857142857,3.1341237266
BTCUSDT,funding_low_or_negative,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,12,48,112,-3.1010658607,-0.0061223482,-0.0071784732,-0.0077435625,0.8960332806,1.3251550361,65.1785714286,1.5024330608,0.9037768431,1.3344330361,65.1785714286,1.5133792284
BTCUSDT,funding_low_or_negative,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,18,72,112,-3.1010658607,-0.0061223482,-0.0071784732,-0.0041044464,1.0750669214,1.8889176367,66.0714285714,1.6088790849,1.0791713679,1.8644541367,66.0714285714,1.6146468893
BTCUSDT,funding_neutral,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,1,4,135,-2.7857425367,0.0055186444,0.0123454222,0.0018773852,0.1851879224,0.2535643012,56.2962962963,1.3659225376,0.1833105372,0.2535643012,56.2962962963,1.3521230379
BTCUSDT,funding_neutral,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,2,8,135,-2.7857425367,0.0055186444,0.0123454222,0.0021737926,-0.0234542381,0.1232640807,50.3703703704,-0.1175373903,-0.0256280307,0.1132640807,50.3703703704,-0.1284746420
BTCUSDT,funding_neutral,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,3,12,135,-2.7857425367,0.0055186444,0.0123454222,0.0026261704,-0.2305931964,0.1074232372,50.3703703704,-0.8853924749,-0.2332193668,0.0988382372,50.3703703704,-0.8958665626
BTCUSDT,funding_neutral,lower,5pct,-1.8987744291,0.0014396000,0.0100000000,6,24,135,-2.7857425367,0.0055186444,0.0123454222,0.0047937037,0.2260640777,0.3453928559,54.8148148148,0.5912608369,0.2212703740,0.3460938559,54.8148148148,0.5792200230
