symbol,shock_side,shock_level,threshold_pct,oi_regime,horizon_bars,horizon_hours,count,signal_return_mean_pct,oi_value_change_24h_mean_pct,future_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_win_rate_pct,mr_return_t_stat
BTCUSDT,lower,5pct,-1.8987744291,price_down_oi_up,1,4,1,-2.1193683051,2.9876555819,1.0207850057,1.0207850057,1.0207850057,100.0000000000,
BTCUSDT,lower,5pct,-1.8987744291,price_down_oi_up,2,8,1,-2.1193683051,2.9876555819,0.6264530346,0.6264530346,0.6264530346,100.0000000000,
BTCUSDT,lower,5pct,-1.8987744291,price_down_oi_up,3,12,1,-2.1193683051,2.9876555819,0.2500097270,0.2500097270,0.2500097270,100.0000000000,
BTCUSDT,lower,5pct,-1.8987744291,price_down_oi_up,6,24,1,-2.1193683051,2.9876555819,3.0887622076,3.0887622076,3.0887622076,100.0000000000,
BTCUSDT,lower,5pct,-1.8987744291,price_down_oi_up,12,48,1,-2.1193683051,2.9876555819,0.4657409975,0.4657409975,0.4657409975,100.0000000000,
BTCUSDT,lower,5pct,-1.8987744291,price_down_oi_up,18,72,1,-2.1193683051,2.9876555819,-0.7687689467,-0.7687689467,-0.7687689467,0.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_down,1,4,1,2.5370505937,-2.2118549558,0.1538530002,-0.1538530002,-0.1538530002,0.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_down,2,8,1,2.5370505937,-2.2118549558,-0.2828835992,0.2828835992,0.2828835992,100.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_down,3,12,1,2.5370505937,-2.2118549558,-0.2446436123,0.2446436123,0.2446436123,100.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_down,6,24,1,2.5370505937,-2.2118549558,-2.6230212100,2.6230212100,2.6230212100,100.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_down,12,48,1,2.5370505937,-2.2118549558,-3.8575311543,3.8575311543,3.8575311543,100.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_down,18,72,1,2.5370505937,-2.2118549558,-4.0851820085,4.0851820085,4.0851820085,100.0000000000,
BTCUSDT,upper,5pct,1.9012904090,price_up_oi_up,1,4,1,2.1838753927,1.1054028761,-0.6205862283,0.6205862283,0.6205862283,100.0000000000,
