symbol,previous_timestamp,current_timestamp,gap_hours,missing_4h_bars
BTCUSDT,2017-09-06 12:00,2017-09-06 20:00,8.0,1
BTCUSDT,2018-02-08 00:00,2018-02-09 08:00,32.0,7
BTCUSDT,2018-06-26 00:00,2018-06-26 12:00,12.0,2
BTCUSDT,2018-07-04 00:00,2018-07-04 08:00,8.0,1
BTCUSDT,2018-11-14 00:00,2018-11-14 08:00,8.0,1
BTCUSDT,2019-03-12 00:00,2019-03-12 08:00,8.0,1
BTCUSDT,2019-05-15 00:00,2019-05-15 12:00,12.0,2
BTCUSDT,2019-08-15 00:00,2019-08-15 08:00,8.0,1
BTCUSDT,2020-02-19 08:00,2020-02-19 16:00,8.0,1
BTCUSDT,2023-02-06 04:00,2023-02-06 12:00,8.0,1
ETHUSDT,2017-09-06 12:00,2017-09-06 20:00,8.0,1
ETHUSDT,2018-02-08 00:00,2018-02-09 08:00,32.0,7
ETHUSDT,2018-06-26 00:00,2018-06-26 12:00,12.0,2
ETHUSDT,2018-07-04 00:00,2018-07-04 08:00,8.0,1
ETHUSDT,2018-11-14 00:00,2018-11-14 08:00,8.0,1
ETHUSDT,2019-03-12 00:00,2019-03-12 08:00,8.0,1
ETHUSDT,2019-05-15 00:00,2019-05-15 12:00,12.0,2
ETHUSDT,2019-08-15 00:00,2019-08-15 08:00,8.0,1
ETHUSDT,2020-02-19 08:00,2020-02-19 16:00,8.0,1
ETHUSDT,2023-02-06 04:00,2023-02-06 12:00,8.0,1
SOLUSDT,2023-02-06 04:00,2023-02-06 12:00,8.0,1
