group,horizon,method,leverage,one_way_cost_bps,n_trades,n_sims,final_return_median_pct,final_return_q05_pct,final_return_q01_pct,final_return_cvar05_pct,mdd_median_pct,mdd_q05_pct,mdd_q01_pct,conditional_expected_drawdown_5_pct,prob_dd_30_pct,prob_dd_50_pct,prob_halving_pct,prob_ruin_pct,max_losing_streak_median,max_losing_streak_q95
G0_all_crashes,24h,iid_bootstrap,1.0,0.0,201,5000,96.69761747799181,-23.198176502882003,-48.49938781271664,-38.66211509918281,-34.10337431282903,-56.81402124053396,-66.64866399884117,-63.046331452650584,65.3,11.5,0.86,0.0,6.0,9.0
G0_all_crashes,24h,iid_bootstrap,1.0,5.0,201,5000,62.46631863569707,-39.20844048121176,-59.03533389860911,-51.212242556542996,-36.59946037323246,-61.08623765154723,-71.69099469658633,-67.42088749785738,73.18,17.54,2.26,0.0,6.0,10.0
G0_all_crashes,24h,iid_bootstrap,1.0,10.0,201,5000,32.920578709643806,-46.30628112454342,-64.6009418856038,-57.69102736983021,-39.788267186453865,-64.87417715866374,-73.5349648791741,-70.40310355348842,79.67999999999999,24.560000000000002,4.12,0.0,6.0,10.0
G0_all_crashes,24h,iid_bootstrap,1.0,20.0,201,5000,-11.246162134219606,-66.54798770671934,-77.91990499768077,-73.28793587467356,-48.164395015620656,-73.94651180941813,-82.10242639811041,-78.774968271536,91.34,45.92,16.7,0.0,7.0,11.0
G0_all_crashes,48h,iid_bootstrap,1.0,0.0,201,5000,240.4144161576171,-4.584024017064601,-47.032114428496826,-28.146559817514987,-38.221715679835526,-60.81698346543242,-71.10742089080964,-67.26629769173908,78.78,18.82,0.66,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,1.0,5.0,201,5000,179.2558793328999,-17.861191229705327,-48.59891841989745,-37.96198317527379,-39.801922955874886,-63.66166683150638,-73.91238436819137,-70.06676965586644,82.72,22.32,0.9199999999999999,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,1.0,10.0,201,5000,130.7263667300798,-34.985274241922724,-62.71363325825467,-52.24855037440859,-41.952455028811755,-66.80837017563182,-76.1999913416293,-72.72675529135675,86.36,28.42,2.52,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,1.0,20.0,201,5000,52.492550555394516,-54.10531740848612,-74.05184255905765,-66.01662816772378,-47.315995279777525,-73.58874697944881,-82.63996136811456,-79.07372679657111,93.06,42.94,6.58,0.0,6.0,9.0
G1_funding_low,24h,iid_bootstrap,1.0,0.0,44,5000,75.47654273007296,12.988885120699763,-4.634638385757479,1.6138576117927848,-13.665834604448996,-26.17591175815976,-33.25925289747031,-30.166216211406763,1.94,0.0,0.0,0.0,3.0,6.0
G1_funding_low,24h,iid_bootstrap,1.0,5.0,44,5000,68.17329994194371,8.997559445787632,-10.149299091150779,-2.6413667913259897,-13.88465984047546,-27.088731113850926,-34.83221476164458,-31.809260268357036,2.58,0.04,0.02,0.0,3.0,6.0
G1_funding_low,24h,iid_bootstrap,1.0,10.0,44,5000,60.33566030453497,2.433921614277376,-13.838792466177528,-7.624355841998284,-14.309147903473274,-27.560608584303314,-35.49122716640349,-32.393811840315735,3.06,0.04,0.0,0.0,3.0,6.0
G1_funding_low,24h,iid_bootstrap,1.0,20.0,44,5000,45.73333931962406,-6.921017470944629,-23.20135237967311,-16.69848755775955,-15.22167874791326,-30.579060591293555,-38.88227211037824,-35.84460788685779,5.64,0.12,0.04,0.0,3.0,6.0
G1_funding_low,48h,iid_bootstrap,1.0,0.0,44,5000,48.65363731703111,-22.672732251307334,-41.1639770246211,-33.847714066931964,-22.581761631853936,-43.834507977689945,-53.19537607150895,-49.76079647817317,25.540000000000003,2.08,0.24,0.0,3.0,5.0
G1_funding_low,48h,iid_bootstrap,1.0,5.0,44,5000,40.385020268953475,-25.261436794334024,-43.77369462961239,-36.77681902237224,-23.553944122430742,-45.097117908986505,-54.15741423222144,-51.15081233769367,28.939999999999998,2.44,0.36,0.0,3.0,5.0
G1_funding_low,48h,iid_bootstrap,1.0,10.0,44,5000,35.31425754107751,-27.763716889479245,-45.41512414698912,-38.92182801570339,-23.999335590111148,-46.25392653158426,-57.63079710530787,-52.55642433862604,30.099999999999998,2.8400000000000003,0.64,0.0,3.0,6.0
G1_funding_low,48h,iid_bootstrap,1.0,20.0,44,5000,24.103330246457652,-35.29353017861709,-48.40142925822047,-43.630989301059465,-25.837166041534676,-48.878442497152754,-58.09470397654363,-54.49402759678537,36.74,4.46,0.74,0.0,3.0,6.0
