fold,strategy,params,score,train_start,train_end,val_end,test_end,oos_total_return,oos_annual_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_exposure,oos_final_equity,oos_trades,oos_win_rate,oos_profit_factor,oos_avg_win,oos_avg_loss,oos_avg_hold_bars,oos_avg_hold_hours,oos_long_trades,oos_short_trades
0,breakout,"{""lookback"": 320, ""vol_min"": 0, ""vol_max"": 3.5}",-0.7408134325019422,2010-05-26 20:00:00,2012-05-26 20:00:00,2012-11-26 20:00:00,2013-02-26 20:00:00,0.11901347143369301,0.5492360047978146,3.8880281926719023,5.705263111365292,18.305284616886244,-0.030004231908590806,1.0,1.119013471433693,1,1.0,inf,0.11901347143369301,,402.0,1608.0,1,0
1,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.09877125262980074,2010-08-26 20:00:00,2012-08-26 20:00:00,2013-02-26 20:00:00,2013-05-26 20:00:00,0.09861784389068928,0.45710571499759167,2.927655337022243,4.684819734703327,11.31199103206722,-0.04040895309250059,1.0,1.0986178438906893,1,1.0,inf,0.09861784389068928,,391.0,1564.0,1,0
2,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.45220015159152005,2010-11-26 20:00:00,2012-11-26 20:00:00,2013-05-26 20:00:00,2013-08-26 20:00:00,-0.036146021529000816,-0.13139858706416951,-0.9536196248639173,-1.4814009098304084,-1.4769762697275843,-0.08896458917948957,1.0,0.9638539784709992,5,0.2,0.2000481918678661,0.009111182766256665,-0.011386234838196757,81.8,327.2,3,2
3,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.3278951282223351,2011-02-26 20:00:00,2013-02-26 20:00:00,2013-08-26 20:00:00,2013-11-26 20:00:00,-0.04261358627251399,-0.1534898280045982,-1.9240955016659873,-2.507110885070634,-1.72984912232593,-0.08873018231683583,1.0,0.957386413727486,4,0.25,0.3419258726644313,0.02210971850754606,-0.021554105022099052,102.25,409.0,2,2
4,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.4819599743268441,2011-05-26 20:00:00,2013-05-26 20:00:00,2013-11-26 20:00:00,2014-02-26 20:00:00,0.029377437849676946,0.11963279209863309,1.4965990936381781,2.1391404714336892,3.6456098341755863,-0.03281557751384734,1.0,1.029377437849677,2,1.0,inf,0.014603626975340012,,200.5,802.0,1,1
5,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.6277925167011857,2011-08-26 20:00:00,2013-08-26 20:00:00,2014-02-26 20:00:00,2014-05-26 20:00:00,-0.021786568119589234,-0.08439106750704439,-1.4718648306892648,-2.237053049884634,-2.0559950896469568,-0.041046337090977936,1.0,0.9782134318804108,3,0.0,0.0,,-0.007305090960590621,130.33333333333334,521.3333333333334,1,2
6,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.24254648731249676,2011-11-26 20:00:00,2013-11-26 20:00:00,2014-05-26 20:00:00,2014-08-26 20:00:00,0.001644625221984608,0.006307644380352695,0.17291337788641603,0.23495532716712575,0.25072476011401856,-0.02515764449224822,1.0,1.0016446252219846,4,0.25,1.1009151984042442,0.021077624146687235,-0.006381849143100471,102.25,409.0,2,2
7,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.596882094461323,2012-02-26 20:00:00,2014-02-26 20:00:00,2014-08-26 20:00:00,2014-11-26 20:00:00,0.10507925486022729,0.46568573339424124,4.345009213073402,6.488521809575534,14.283771625277346,-0.03260243481981595,1.0,1.1050792548602273,3,0.6666666666666666,9.77950673913418,0.057749437299292605,-0.011810296539435772,136.33333333333334,545.3333333333334,2,1
8,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",1.6525863856566672,2012-05-26 20:00:00,2014-05-26 20:00:00,2014-11-26 20:00:00,2015-02-26 20:00:00,0.014458000849675301,0.057620793095661815,0.5810068753952301,0.8193438265689246,1.1971893741290167,-0.048130057233077506,1.0,1.0144580008496753,1,1.0,inf,0.014458000849675301,,401.0,1604.0,1,0
9,breakout,"{""lookback"": 40, ""vol_min"": 0, ""vol_max"": 3.5}",0.8642186250656042,2012-08-26 20:00:00,2014-08-26 20:00:00,2015-02-26 20:00:00,2015-05-26 20:00:00,-0.0007406636569072811,-0.0029612541292505234,-0.005867222566566899,-0.008221624848937716,-0.05681015015113004,-0.05212544098849947,1.0,0.9992593363430927,5,0.4,0.9911386509694666,0.01463652537421578,-0.009844922880634507,78.2,312.8,3,2
10,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.7895418424596685,2012-11-26 20:00:00,2014-11-26 20:00:00,2015-05-26 20:00:00,2015-08-26 20:00:00,0.02618902235077014,0.10397808756957172,1.1657728004346883,1.5487163214509139,2.9125882545704203,-0.035699549157492405,1.0,1.0261890223507701,4,0.5,3.905283350819678,0.017727255553469656,-0.004539300726987938,102.25,409.0,2,2
11,breakout,"{""lookback"": 40, ""vol_min"": 0, ""vol_max"": 3.5}",0.14678227790152965,2013-02-26 20:00:00,2015-02-26 20:00:00,2015-08-26 20:00:00,2015-11-26 20:00:00,-0.01874165830614627,-0.06983540034141755,-0.8847499464641493,-1.2389075486782317,-1.556298675841967,-0.044872749315703286,1.0,0.9812583416938537,4,0.25,0.4815253520450039,0.017228485365071045,-0.011926326268459797,102.25,409.0,2,2
12,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.3959375964126645,2013-05-26 20:00:00,2015-05-26 20:00:00,2015-11-26 20:00:00,2016-02-26 20:00:00,-0.02264233882093114,-0.08591439351258434,-0.7524100613363603,-1.0866318083318198,-1.7641534591772277,-0.04870006805000593,1.0,0.9773576611790689,6,0.3333333333333333,0.5850620801945865,0.015617075406956116,-0.013346511366590375,66.5,266.0,3,3
13,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",0.6526445795379638,2013-08-26 20:00:00,2015-08-26 20:00:00,2016-02-26 20:00:00,2016-05-26 20:00:00,0.034890830753615765,0.14476211527689986,1.3381493170744931,2.306439642144155,3.197860533977287,-0.04526842673055986,1.0,1.0348908307536158,1,1.0,inf,0.034890830753615765,,397.0,1588.0,0,1
