,monthly_return,year,month
2012-11-30,0.0026650844793267847,2012,11
2012-12-31,0.05195057412667192,2012,12
2013-01-31,0.05818890914545438,2013,1
2013-02-28,0.009453535897458343,2013,2
2013-03-31,0.01826508678886385,2013,3
2013-04-30,0.031812202987101745,2013,4
2013-05-31,0.032165099268302244,2013,5
2013-06-30,0.01144221473243956,2013,6
2013-07-31,-0.016079078092631982,2013,7
2013-08-31,-0.02554797370741113,2013,8
2013-09-30,-0.03121311814645733,2013,9
2013-10-31,-0.026102276416121173,2013,10
2013-11-30,0.02734467972095933,2013,11
2013-12-31,0.02666445519825089,2013,12
2014-01-31,-0.004795540412873556,2014,1
2014-02-28,0.004663718999361244,2014,2
2014-03-31,-0.014215619053017381,2014,3
2014-04-30,-0.020011346795487328,2014,4
2014-05-31,0.0034642920439831304,2014,5
2014-06-30,-0.013713690622664032,2014,6
2014-07-31,0.002558460942010843,2014,7
2014-08-31,0.013505459036784684,2014,8
2014-09-30,0.05276193767640169,2014,9
2014-10-31,0.003962939695827394,2014,10
2014-11-30,0.05453418295446699,2014,11
2014-12-31,0.007538914598232971,2014,12
2015-01-31,-0.023516443137973853,2015,1
2015-02-28,0.02365506405137152,2015,2
2015-03-31,0.0035138302220232287,2015,3
2015-04-30,-0.023717431989655036,2015,4
2015-05-31,0.027114367016655372,2015,5
2015-06-30,-0.010479419529836775,2015,6
2015-07-31,-0.0034819956680020026,2015,7
2015-08-31,0.020674992729999175,2015,8
2015-09-30,-0.009359220902747878,2015,9
2015-10-31,-0.017518074362827707,2015,10
2015-11-30,0.023688061132491667,2015,11
2015-12-31,-0.029171878436204945,2015,12
2016-01-31,0.03756636607122665,2016,1
2016-02-29,-0.022133856501737714,2016,2
2016-03-31,-0.001742874849286924,2016,3
2016-04-30,0.05803741486120617,2016,4
2016-05-31,-0.04080233437956571,2016,5
2016-06-30,0.06936786186106669,2016,6
2016-07-31,-0.0791897411189354,2016,7
2016-08-31,-0.04571140617837799,2016,8
2016-09-30,0.019959004802222458,2016,9
2016-10-31,0.0173134210429835,2016,10
2016-11-30,0.04999324652650694,2016,11
2016-12-31,0.018128231734432676,2016,12
