fold,train_start,train_end,val_end,test_end,family,params,score,train_sharpe,val_sharpe,test_total_return,test_ann_return,test_sharpe,test_calmar,test_maxdd,test_trades,test_pf,test_exposure
1,2018-06-01 20:30:00,2020-06-01 20:30:00,2020-12-01 20:30:00,2021-03-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 72}",-0.1863335472750273,-0.07952137282821616,-0.13131654286653993,0.01529781519537976,0.06518184024121432,1.275245175117041,2.678412456441732,-0.02433599802168196,53,1.0323327348315723,1.0
2,2018-09-01 20:30:00,2020-09-01 20:30:00,2021-03-01 20:30:00,2021-06-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 120}",0.04611161941130408,-0.30607428181817226,0.18386124034299764,-0.0030501420599678974,-0.011936442577787032,-0.18734481165777594,-0.3899334109201414,-0.030611489663376457,56,0.9952034769567699,1.0
3,2018-12-01 20:30:00,2020-12-01 20:30:00,2021-06-01 20:30:00,2021-09-01 20:30:00,ma_cross,"{'fast': 48, 'slow': 72}",1.8410717759680966,0.2221989887475684,1.9506977393955711,0.003505236145561419,0.013858622913099472,0.3011879453271417,0.603695852086776,-0.022956299708197125,28,1.0080184464460515,1.0
4,2019-03-01 20:30:00,2021-03-01 20:30:00,2021-09-01 20:30:00,2021-12-01 20:30:00,ma_cross,"{'fast': 48, 'slow': 72}",1.5777974643246924,0.19643897796298126,1.645512521314485,0.02207454421309718,0.09118175242109272,1.420964645967584,3.15645980216827,-0.02888734789477032,28,1.0387386381703128,1.0
5,2019-06-01 20:30:00,2021-06-01 20:30:00,2021-12-01 20:30:00,2022-03-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 72}",1.3798585248882325,0.13253986345159885,1.4240696522901386,-0.011867274421029306,-0.04727182581903122,-0.8096602473699148,-1.7663636254281951,-0.026762227855304577,63,0.9795740456327886,1.0
6,2019-09-01 20:30:00,2021-09-01 20:30:00,2022-03-01 20:30:00,2022-06-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 120}",1.7698107978251232,-0.007124130167013168,1.9094419846647384,0.10873332396523883,0.5004195976539332,4.170432507038563,16.24509826304818,-0.030804344150518914,38,1.1177897702559956,1.0
7,2019-12-01 20:30:00,2021-12-01 20:30:00,2022-06-01 20:30:00,2022-09-01 20:30:00,ma_cross,"{'fast': 24, 'slow': 120}",2.6713930743830527,0.5846467018971702,2.863171851160131,0.061783384823770104,0.26602609428541246,2.2129240312875207,4.705718571027253,-0.056532512573810645,29,1.0617883627426516,1.0
8,2020-03-01 20:30:00,2022-03-01 20:30:00,2022-09-01 20:30:00,2022-12-01 20:30:00,ma_cross,"{'fast': 24, 'slow': 120}",3.0716781606654653,0.20371668995730624,3.4013185599911617,-0.028445302512311144,-0.10892780259028545,-0.746760321228466,-1.1043548493378301,-0.09863478451296559,34,0.9765344096640296,1.0
9,2020-06-01 20:30:00,2022-06-01 20:30:00,2022-12-01 20:30:00,2023-03-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 72}",0.2660892617563043,0.8557544917190375,0.6880162883868894,-0.08540148702287198,-0.30379430344902936,-2.4325466264569577,-2.7503654670141837,-0.11045597652112416,67,0.9294023129735745,1.0
10,2020-09-01 20:30:00,2022-09-01 20:30:00,2023-03-01 20:30:00,2023-06-01 20:30:00,ma_cross,"{'fast': 24, 'slow': 72}",-2.6235389364816877,1.205440321247629,-1.575493418235173,0.0036853201369932975,0.014565204192097836,0.18847290475401274,0.19786701828350847,-0.07361107636053055,41,1.00502031208543,1.0
11,2020-12-01 20:30:00,2022-12-01 20:30:00,2023-06-01 20:30:00,2023-09-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 72}",-1.6093988470282758,0.9226528178004527,-0.7578288464738421,-0.004183180192774527,-0.016353536142366787,-0.1354184678157448,-0.34770283739153934,-0.04703308222921254,74,0.996339073797256,1.0
12,2021-03-01 20:30:00,2023-03-01 20:30:00,2023-09-01 20:30:00,2023-12-01 20:30:00,ma_cross,"{'fast': 48, 'slow': 120}",1.1551926847485119,-0.13646585179446064,1.2610133255104214,-0.02804368283121672,-0.10755249181357429,-1.7113394358815623,-2.72230728342025,-0.03950784412494668,23,0.953928145862379,1.0
13,2021-06-01 20:30:00,2023-06-01 20:30:00,2023-12-01 20:30:00,2024-03-01 20:30:00,ma_cross,"{'fast': 12, 'slow': 72}",0.8704536532126578,0.5069368506592977,0.7829208657455409,-0.013029269393937892,-0.05232230510537783,-0.5193732449206612,-0.7505577594302983,-0.06971123067875873,71,0.9853380404391034,1.0
